title,content
"SK쉴더스와 손잡은 배민, '서빙 로봇'보급 속도낸다


","설치·유지보수 등 관리 고도화식당 외에 다앙한 분야로 확대 우아한형제들 김민수 서빙로봇실장(왼쪽)과 SK쉴더스 김윤호 전략사업그룹장이 지난 18일 서울 문정동 가든파이브에서 '서빙 로봇 사업 전략적 제휴 업무협약'을 체결한 뒤 기념촬영을 하고 있다. 우아한형제들 제공 배달의민족(배민) 서빙 로봇 '딜리 플레이트'가 SK그룹 계열사인 SK쉴더스가 보유한 영업 및 마케팅 인프라를 타고 전국으로 확산된다. 배민 운영사 우아한형제들은 SK쉴더스와 지난 18일 서울 문정동 가든파이브에서 '서빙 로봇 사업 전략적 제휴 협약'을 맺었다고 21일 밝혔다. SK쉴더스는 지난해 정보보안업체 SK인포섹이 ADT캡스를 합병한 뒤 탄생한 기업으로 전국에 영업 및 마케팅 인프라를 갖추고 있다.   이번 협약은 2019년 11월 시작된 배민 서빙 로봇 렌탈 사업을 전국으로 확대하고 로봇 설치 및 유지보수 등 관리 체계를 고도화하기 위해 진행됐다. 앞으로 SK쉴더스는 서빙 로봇 관련 영업, 상담, 계약 등 고객 관련 업무를 진행한다. 배민은 로봇 설치, 사후관리(A/S), 기술 지원 등을 담당하게 된다.   매장 운영 효율을 높여주는 서빙 로봇 수요는 꾸준히 증가하고 있다. 배민은 지난해 말 기준 전국 500여개 매장에 630여대 서빙 로봇을 공급했다. 매장에 설치된 서빙 로봇은 하루 평균 6시간씩 월 2000여건 서빙을 수행하면서 외식업 사장 도우미 역할을 톡톡히 하고 있다.   양사는 이번 제휴를 바탕으로 올해를 '서빙 로봇 대중화 원년'으로 삼고 보급에 주력할 계획이다. 특히 SK쉴더스가 정부기관을 비롯해 공기업, 대기업, 중소기업, 개인사업자까지 다양한 유형의 고객을 보유하고 있어, 그동안 식당에 한정됐던 서빙 로봇 수요가 여러 분야로 대폭 확대될 전망이다. 배민은 SK쉴더스와 사업규모를 확대하면서 기존 서빙 로봇 대비 성능이 크게 개선된 로봇 '딜리S'도 선보인다. 안정성이 더욱 높아진 딜리S는 레이저 레이더와 카메라를 활용해 장애물 회피 능력이 우수하다.   박진효 SK쉴더스 대표는 ""이번 협약으로 다양한 업종 고객들이 합리적 비용으로 서빙 로봇을 도입할 수 있게 돼 사업장 운영 효율이 한층 높아질 것""이라며 ""향후 로봇을 활용한 다양한 분야에 진출해 빅테크 기반 신규 비즈니스모델(BM)을 확장해 나갈 것""이라고 말했다.   김범준 우아한형제들 대표는 ""배달의민족이 그동안 축적해온 로봇 사업 노하우와 SK쉴더스의 전문 영업인프라가 결합해 서빙 로봇 보급이 한층 빨라질 것으로 기대된다""면서 ""이번 제휴가 음식점, 카페 등 외식업 매장뿐 아니라 다양한 장소에 로봇이 활용되는 계기가 되길 바란다""고 강조했다.  


"
"강원도내 휘발윳값 5주째 상승세…3개월 만에 다시 1700원대


","▲ 주유소[강원도민일보 자료사진]최근 국제유가 급등에 따라 올해 강원도내 휘발유 평균 판매 가격이 연일 최고가를 경신하고 있다.이 같은 기름값 상승세는 5주째 이어지며 유류세 인하 직후 가격까지 치솟아 도민들의 지갑 사정이 다시 팍팍해졌다.한국석유공사 유가정보 서비스 오피넷에 따르면 21일 강원지역 평균 휘발유 가격은 리터(ℓ)당 1735.88원으로 올해 들어 최고가를 기록했다. 강원 평균가는 전국 평균(1736.48원)과 유사한 수준을 유지했고, 서울 평균은 1801.70원으로 전국에서 유일하게 1800원대를 돌파했다.도내 평균 경유값 또한 1564.67원으로 전날보다 2.28원 올라 올해 최고가를 새로 썼다. 이는 전국 평균 경유값(1560.65원) 보다 4.02원이 높고 전국 시도 가운데 제주(1646.06원), 서울(1636.28원), 인천(1575.40원), 경기(1569.43원)에 이어 5번째로 가격이 비쌌다.이 같은 가격 상승세는 5주째 계속 이어지고 있다. 도내 휘발유 평균 판매가격은 2월 셋째주 1719.06원으로 전주(1695.97원) 보다 23.09원 올랐다. 도내 휘발유 가격이 1700원선을 넘은 것은 유류세 인하 직후인 11월 셋째주(1723.88원) 이후 3개월만이다.지난해 11월 둘째주(1813.27원) 1800원대까지 올랐던 휘발유 가격은 유류세 인하 영향으로 올해 1월 둘째주(1635.37원)까지 가격이 하락하다가 1월 셋째주(1641.49원)부터 다시 상승세를 탔다. 1월 둘째주 1635.37원이었던 휘발윳값은 2월 셋째주 1719.06원으로 한달 사이 83.69원이나 올랐다.경유값도 5주째 상승세가 이어지고 있다. 1월까지 1400원대였던 경유값은 이달 들어 1500원대를 돌파, 2월 첫째주 1500.37원, 둘째주 1523.89원, 셋째주 1547원으로 상승 곡선을 그리고 있다.한편, 21일 오후 4시 기준 도내에서 가장 싼 주유소는 구도일주유소 솔향강릉(휘발유 1688원), 춘천 거두주유소(경유 1477원)로 도내 평균가보다 휘발윳값 48원, 경유값 88원 저렴하다. 


"
"SK이노베이션 이사회, 장동현 SK 부회장 등 신임 사내·외 이사후보 3명 추천


","장동현 부회장 기타비상무이사 후보 추천 의결김준·하윤경 사외이사 임기만료김태진 고려대 교수·박진회 전 씨티은행장 물망다음 달 31일 정기 주주총회서 추인SK이노베이션은 21일 이사회를 열고 다음 달 정기 주주총회에서 선임될 사내·외이사 후보 3명을 추천했다. 이날 이사회는 유정준 SK E&S 부회장을 대신해 SK주식회사 장동현 부회장을 기타비상무이사 후보로 추천하기로 의결했다. 또한 오는 3월 임기만료를 앞둔 김준 ㈜경방 대표이사 회장과 하윤경 홍익대 공대 교수 등 사외이사 후임으로 김태진 고려대 법학전문대학원 교수와 박진회 전(前) 시티은행장을 신임 사외이사 후보로 올렸다. 장동현 부회장은 SK그룹 포트폴리오 확장 등 경영 능력을 인정받아 이번에 후보로 올랐다고 SK이노베이션 측은 설명했다. 김태진 교수는 젊고 유능한 법조인이라는 점을 박진회 후보자는 금융과 재무분야 전만가라는 점을 고려했다고 전했다.이사회 관계자는 “그룹 내 대표적인 재무전문가로 알려진 장동현 부회장은 마케팅과 전략 등 다양한 분야에서 높은 역량을 바탕으로 SK이노베이션 이사회 의사결정에 큰 도움이 될 것으로 기대한다”며 “이사회 중심 경영이 강조되면서 대주주와 소통이 중요해짐에 따라 SK이노베이션 대주주인 SK㈜ 대표이사로서 이사회와 소통에 도움이 될 것”이라고 말했다.이번 사내·외 이사 후보들은 다음 달 31일 열리는 주주총회에서 절차를 거쳐 정식 선임될 예정이다. 


"
"LG TV로 '디지털 아트' 감상한다…그라운드X '클립 드롭스' 연동


","기사내용 요약집에서 만나는 디지털 아트 미술관'드롭스 갤러리' TV앱 출시[서울=뉴시스] 오동현 기자 = 카카오의 블록체인 기술 계열사 그라운드X가 LG전자 스마트TV에서 '클립 드롭스'의 디지털 아트를 감상할수 있는 TV앱 '드롭스 갤러리(Drops Gallery)'를 출시했다고 21일 밝혔다. LG 콘텐츠 스토어를 통해 새롭게 선보이는 '드롭스 갤러리'는 유저가 '클립 드롭스' 내에서 보유하고 있는 한정판 디지털 작품을 LG전자의 스마트TV와 연동한다. 1D1D를 통해 구매한 국내 주요 아티스트들의 미술 작품뿐만 아니라 디팩토리를 통해 구매한 다양한 크리에이터들의 NFT 콜렉터블스와 마켓을 통해 구매한 작품 모두 TV 화면을 통해 감상할 수 있다. 아티스트와 작품 해설 등의 정보 또한 확인할수 있다. 2019년도 이후 출시된 LG전자 스마트 TV(UHD 이상 모델 및 스탠바이미)에서 모두 사용 가능하다.그라운드X는 기존의 미술 전시를 관람하듯 NFT(대체불가토큰)와 디지털 아트의 감상 경험 확대에 나서고 있다. '드롭스 갤러리'와 더불어 여러 미술 감상 서비스뿐 아니라 LED스크린과 디지털 액자 등 하드웨어 기기 등을 활용해 유저에게 새로운 경험을 제공할 계획이다.한재선 그라운드X 대표는 ""LG 스마트TV의 대화면에서 만나볼 수 있는 드롭스 갤러리를 통해 보다 풍부한 NFT와 디지털 아트 감상 및향유를 경험할 수 있을 것으로 기대한다""며 ""클립 드롭스는 디지털 예술품 큐레이션과 유통을 넘어 작품 세계에 대한 경험과 이해를 바탕으로 유저와 작가 간의 커뮤니티 또한 강화하는 독창적인 NFT 문화 패러다임을 지속적으로 만들어 나갈 것""이라고 말했다.한편, 작년 7월에 첫 선을 보인 '클립 드롭스'는 21일 기준 약 390점의 작품을 선보여 약 730만 클레이(KLAY) 판매액을 기록하고 있다. 매일 오전 9시부터 최대 12시간동안 옥션이나 선착순 에디션 판매를 통해 클레이로 감상하고 구매할 수 있다.


"
"'글로벌 집값 다 올랐다'…한국 8.6%로 OECD 중위권


","기사내용 요약국토연구원 'OECD 부동산 통계지도' 발간30.2% 오른 터키 1위…러 21.1%, 미 17.7%물가 감안한 실질값 5.6%, 중간 아래 위치[서울=뉴시스] OECD 국가별 명목주택가격 상승률. (이미지=국토연구원 제공)[서울=뉴시스] 이예슬 기자 = 최근의 집값 급등 현상이 우리나라만의 현상은 아니었던 것으로 집계됐다. 경제협력개발기구(OECD) 소속 41개 국가의 집값 상승률을 줄 세웠더니 한국은 허리 수준에 있었다.21일 국토연구원의 'OECD 부동산 통계지도'에 따르면 2020년 2분기부터 2021년 2분기 동안 명목주택가격이 가장 큰 폭으로 오른 곳은 터키(30.2%)였다. 그 뒤를 이어 러시아(21.1%), 미국(17.7%), 스웨덴(17.2%), 호주(16.8%), 덴마크(15.7%) 등이 상위권에 랭크됐다. 양적완화 정책 등으로 유동성이 늘면서 전 세계적으로 집값이 뛴 것으로 해석된다.8.6% 오른 한국은 21위로 중위권에 위치했다. 우리보다 상승률이 낮은 주요 국가는 프랑스(6.2%), 일본(5.6%), 핀란드(5.4%), 중국(4.5%) 등이 있다.물가상승률을 감안한 실질주택가격은 스웨덴(15.3%), 덴마크(13.6%), 미국(13.4%), 체코(12.0%) 등이 높은 편이었다. 한국은 5.6%로 중간보다 낮은 편에 속했다. 인도(-8.6%), 브라질(-7.1%), 이탈리아(-0.4%), 인도네시아·아일랜드(-0.2%)는 하락했다.소득 대비 주택가격을 보면 미국(18.9%), 호주(16.3%), 캐나다(15.7%), 네덜란드(13,6%), 일본(12.1%) 등이 많이 오른 축에 들었다. 한국은 5.6%였다.매매가와 비교하면 대체로 임차 가격의 상승폭은 적었다. 터키(9.7%), 라트비아(4.6%), 오스트리아(3.9%), 폴란드(3.5%), 에스토니아(3.1%) 등이 비교적 많이 올랐다. 한국(1.3%)은 영국(1.5%), 독일(1.4%), 노르웨이·스웨덴(1.3%) 등과 함께 1%대 초중반의 상승률을 나타냈다.국토연구원은 2020년부터 OECD에서 발표하는 부동산 관련 통계 자료를 바탕으로 이 통계를 제작하고 있다. 1년, 2년, 5년, 10년 변동률을 알기 쉽게 지도화해 장단기적 변화를 파악할 수 있도록 했다. 다만 각 나라가 OECD에 제출하는 자료가 통일되지 않았다는 점에서 단순 수치로 비교하기에는 한계가 존재한다.


"
"""5인 미만도 중대재해법…문 닫으란 소리""


","한경·FROM 100 대선공약 검증 (6) 노동분야주4.5일제도 기업부담 가중李, 노동 '보호'에만 치우쳐 최저임금 체계 바꾸겠다는 尹 방향만 있고 구체성은 부족“노동정책은 취약계층 보호와 함께 노동시장(일자리) 활성화도 도모해야 합니다. 하지만 이재명 더불어민주당 대선 후보의 공약은 ‘보호’에만 치우쳐 있습니다.”(최강식 연세대 경제학부 교수)“윤석열 국민의힘 후보의 노동 공약은 방향성만 제시했을 뿐 구체성이 부족합니다.”(김동배 인천대 경영학부 교수)한국경제신문과 싱크탱크 FROM100이 21일 공동으로 진행한 웨비나 방식의 대선 공약 검증 평가에서 검증위원들은 여야 대선 후보의 노동 분야 공약에 쓴소리를 쏟아냈다. 중대재해처벌법 강화, 주 4.5일제 도입 등을 공약한 이 후보에 대해선 기업의 부담이 과도하게 늘어날 것이란 우려가 나왔고, 최저임금 결정구조 개편 등을 제시한 윤 후보에게는 현실적인 대안을 내놓지 못했다는 지적을 제기했다.이정 한국외국어대 법학전문대학원 교수는 이 후보가 지난 3일 TV토론에서 ‘중대재해처벌법 적용 대상을 5인 미만 사업장까지 확대해야 한다’고 밝힌 데 대해 “사실상 영세기업 다 죽으라는 소리”라고 평가했다. 이정 교수는 “일을 할 사람이 5명도 안 되는데 임원 1~2명이 구속이라도 되면 해당 기업은 당장 문을 닫을 수밖에 없다”며 “5인 미만 사업장에는 처벌보다 안전과 감독을 강화해야 한다”고 강조했다.이 후보가 내세운 ‘주 4.5일제’에 대해서도 순기능보다 부작용이 클 것이란 우려가 나왔다. 이정민 서울대 경제학부 교수는 “주 4.5일제를 도입하면 초과근로수당 지급 기준이 주 40시간에서 주 36시간으로 조정된다는 의미”라며 “기업의 인건비가 크게 오르는 결과를 야기할 것”이라고 말했다. 조동훈 한림대 경제학과 교수는 “주 52시간 근무제 효과에 대한 분석도 아직 제대로 이뤄지지 않은 상황에서 주 4.5일제를 도입하자는 것은 말이 안 된다”고 꼬집었다.윤 후보는 최저임금의 점진적 인상과 결정 방식 개편을 공약으로 내세웠다. 중소기업의 여건과 지급 능력을 더 많이 반영해야 한다는 취지다. 하지만 조동훈 교수는 “구체적으로 어떻게 점진적으로 올리고 어떻게 결정 방식을 개편할지에 대해선 아무런 말도 없다”고 지적했다.이정민 교수는 “현행 최저임금 결정 체계는 노조와 사측의 갈등에 밀려 정부가 나서기 어려운 구조”라며 “중위소득을 결정하는 중앙생활보장위원회에 여러 정부 부처가 함께 논의에 참여하는 방식처럼 최저임금도 행정부의 역할과 책임을 강화하는 방식으로 개편해야 한다”고 제안했다.윤 후보가 최저임금을 지역별·업종별로 차등 적용하겠다고 공약한 데 대해선 검증위원 사이에 의견이 엇갈렸다. 조동훈 교수는 “지역별 차등 적용은 우리 사회에 또 다른 임금격차를 야기해 사회적 갈등이 커질 수 있다”며 반대 뜻을 밝혔다.반면 이정 교수는 “물가가 다른 지역엔 최저임금을 따로 적용하는 것이 합리적이고, 업종별 최저임금 차등화는 대기업과 중소기업의 임금격차를 줄이는 데 도움이 될 수 있다”고 했다.


"
"아마존웹서비스, 한국에 SaaS센터 오픈


","기사내용 요약""고객 및 파트너의 AWS 기반 SaaS 솔루션 구축 지원""[서울=뉴시스] 이진영 기자 = 아마존웹서비스(AWS)는 한국에 AWS SaaS(서비스형 소프트웨어) 센터를 설립한다고 21일 밝혔다.AWS SaaS 센터는 AWS 고객 및 파트너가 AWS상에서 자체 SaaS (Software-as-a-Service, 서비스형 소프트웨어) 솔루션을 구축하고, 클라우드 이전 과정에서 완전한 SaaS 전환을 달성하도록 실질적인 지원을 제공한다. 또한 AWS SaaS 센터를 통해 B2B 솔루션 공급업체 및 서비스 제공업체, 시스템 통합업체(SI)의 비즈니스 성장을 가속화할 예정이다. AWS SaaS 센터는 한국에 위치한 SaaS 원스톱 허브로서, 향후 고객과 파트너를 대상으로 기술 지원을 제공하고 글로벌 비즈니스 우수 사례를 공유해 나갈 예정이다. 또한 고객이 성공적인 SaaS 비즈니스 모델의 핵심 요소를 이해할 수 있도록 SaaS 비즈니스 전략도 제공하기로 했다.  함기호 AWS코리아 대표는 ""새롭게 오픈한 AWS SaaS 센터를 통해 자사 고객과 파트너를 대상으로 SaaS 비즈니스 계획, 구축 및 운영에 대한 통찰과 모범 사례를 지속적으로 제공해나갈 예정""이라고 말했다.한편 과학기술정보통신부에 따르면 국내 SaaS 기업의 수는 2017년 336개에서 2020년 561개로 증가했으며, 매출액은 2배 늘었다. 기업들은 SaaS 도입을 통해 급변하는 환경 및 고객 요구에 보다 신속하게 대응할 수 있게 된다.


"
"재택치료 50만 육박, 응급환자 대응 관건…""이송·병상 효율화""


","오미크론 변이 확산으로 코로나19 환자가 급증, 재택치료자가 50만 명에 육박하면서 재택치료자의 응급상황 대처를 두고 우려가 나오고 있습니다.정부는 이에 대해 응급의료기관으로 이송 과정을 효율화하고 코로나19 환자 응급 병상을 더 확보하겠다고 밝혔습니다.박향 중앙사고수습본부(중수본) 방역총괄반장은 오늘(21일) YTN 라디오에 출연해 ""재택치료 일반관리군에 대해 가장 신경을 쓰고 있는 부분이 일반관리군이 응급상황을 맞이했을 때""라며 ""응급상황이라고 판단하는 경우 119에 직접 전화하도록 하고 있다""고 말했습니다.박 반장은 ""다만 (코로나19) 양성 환자의 경우 응급실 병상이 차 있어 받지 못할 수 있다""며 ""응급실 내 코로나19 환자용 격리병상을 확대하는 것에 최선을 다하고 있다""고 설명했습니다. 최종균 중수본 재택치료반장은 이날 백브리핑에서 관련 질의에 ""119 출동 건수, 이송환자 수를 감안해 이송체계가 더 효율적으로 이뤄질 수 있도록 소방청과 협의하겠다""고 밝혔습니다.중수본에 따르면 오늘 0시 기준 신규 확진자는 9만5천362명, 재택치료자는 46만9천384명입니다.손영래 중수본 사회전략반장은 위중증 환자 수에 관리에 대해 ""중환자의 83%, 사망자의 95%가 60세 이상 연령층이고 사망자의 63%가 백신 미접종자""라며 ""미접종자이면서 60세 이상이 중증화율과 치명률을 높이는 그룹인 만큼, 이들에 대해 최대한 접종하도록 하고 감염을 차단하는 조치가 중요하다""고 말했습니다.


"
"'합격자 수 1위' 기만 광고 에듀윌...공정위 '불공정 잣대'를 탓하는 이유는


","[경향신문] 에듀윌 광고. 공정위 제공‘합격자 수 1위’ 기만 광고로 공정거래위원회로부터 억대 과징금 처분을 받은 에듀윌이 공정위에 법적 대응을 예고했다. 이들은 전례 없는 과도한 처분인데다 형평성에도 어긋난다고 주장하고 있다. 더 큰 허위ㆍ과장 광고를 벌인 대기업은 ‘경고’ 처분에 그친만큼 공정위의 ‘고무줄 잣대’라는 것이다. 공정위의 석연치 않은 과거 심결례가 논란을 자초했다는 지적이 나온다.공정위는 버스·지하철에 ‘합격자 수 1위’ ‘공무원 1위’를 적은 에듀윌 광고가 소비자를 기만한 광고라고 판단했다. 에듀윌이 합격자 수 1위를 차지한 건 2016년과 2017년 치러진 공인중개사 시험뿐이고 공무원 1위도 한차례 설문조사 결과일 뿐이라는 것이다. 시정명령과 함께 에듀윌에 부과한 과징금 2억8600만원도 논란의 여지가 없는 적정한 처분이라는 입장이다. 김동명 공정위 서울사무소 소비자과장은 “사안의 중대성과 법 위반 행위의 반복성, 소비자에게 얼마나 노출이 됐는지 여부 등을 고려해 내린 판단”이라며 “공정위 가이드 라인과 대원칙에 따른 처분으로 문제될 것 없다”고 했다.  ■에듀윌, 공정위에 반발하는 이유는 그럼에도 에듀윌은 제재 형평성을 거론하며 반발하고 있다. 에듀윌은 20일 공정위 처분과 관련해 낸 입장문에서 “이번 사건보다 위법성이 중대하다고 평가될 수 있는 자동차 회사의 허위광고 등 사건에서도 ‘경고’ 처분을 한 사실에 비추어 볼 때 상당히 과도한 조치라고 생각된다”고 했다. ‘자동차 회사의 허위광고’는 현대·기아차의 자사 순정 부품 표시 사건이다. 공정위는 지난달 12일 이들 업체가 2012년 9월∼2020년 6월 제작·판매한 차량들의 취급설명서에 거짓·과장 표시를 했다며 경고 처분을 내렸다. 제재 단계 중 가장 낮은 수위다. 이 같은 공정위 처분을 두고 솜방망이 처벌 논란이 일었다. 사건을 조사한 공정위 실무진은 과징금 부과 의견을 냈지만 법원 1심격인 공정위 소회의는 현대·기아차가 2018년 11월 이후 출시 차종의 차량취급설명서에는 해당 표시를 삭제했다며 경고로 처분 수위를 낮췄다. 에듀윌이 자동차 회사를 언급한 배경에는 대기업에만 너그러운 공정위의 ‘불공정 잣대’에 대한 불만이 깔려있다. 공정위의 현대·기아차 제재에 대한 논란은 현재 진행형이다. 심의 과정에서 나온 공정위 위원의 발언과 합의 과정이 담긴 속기록은 공개 대상이 아닌데다 심사 의결서 역시 여전히 공개되지 않고 있어서다. 논란이 계속되자 공정위는 이례적으로 ‘비공개’로 진행된 해당 사건의 회의 속기록 공개를 검토하고 있다. 공정위 측은 “현대·기아차 의견 수렴을 거쳐 조만간 속기록과 심의 의결서 모두 공개할 것”이라며 “속기록과 의결서가 나오면 의혹도 해소될 것”이라고 했다.그러나 속기록 공개된다 해도 논란의 심결례는 남는다. 앞선 공정위의 석연치 않은 판단을 내세워 자사에 내려진 처분에 반발하는 ‘제2의 에듀윌’이 나타날 가능성이 높다. 공정거래 분야 사건을 주로 다루는 박제연 변호사(법무법인 여정)는 “뒤늦게 속기록을 공개한다고 해서 한번 깨진 신뢰가 회복되지는 않을 것”이라며 “논란의 여지가 있는 사건은 최종 제재 수위 결정 전에 공정위 내부 의견을 충분히 수렴하도록 하는 제도적 장치가 필요하다”고 했다.


"
"긴장감 엄습한 증시…엔데믹 전환 `촉각` [박해린의 뉴스&마켓]


","동영상 뉴스<앵커>우크라이나를 둘러싼 긴장감이 증시를 뒤덮고 있는 상황입니다.오늘 박해린 증권부 기자와 함께 증시 상황 진단해 보도록 하겠습니다.박 기자, 오늘 국내 증시 마감시황 먼저 간략히 전해주시죠.<기자>네, 오늘 장 초반 2700선을 내어줬던 코스피는 다행히 회복하는 모습을 보였습니다.러시아군이 우크라이나 국경지역에 접근 중이라는 소식에 장 초반 하락하다 바이든 미국 대통령과 푸틴 러시아 대통령이 회담을 갖기로 했다는 소식이 전해지며 낙폭을 축소한 겁니다.결국 코스피 지수는 지난 금요일보다 0.03% 내린 2,743.80에 장을 마쳤습니다.코스닥 역시 코스피와 비슷한 흐름을 보이며 하락폭을 축소하다 상승 전환에 성공했습니다.오늘 코스닥 지수는 전 거래일보다 0.29% 오른 884.25에 마감했습니다.<앵커>박 기자, 지난 금요일 뉴욕증시도 큰 폭으로  빠지지 않았습니까.아무래도 오늘 우리 증시에 부담을 줄 수밖에 없었을 것 같습니다.<기자>네, 우크라이나 돈바스 지역에서 무력 충돌이 확산했다는 소식이 들려오며 다우가 0.68%, S&P가 0.72%, 나스닥이 1.23% 빠졌습니다.또 미국의 경우 현지시간으로 월요일은 `대통령의 날`로 미국 시장이 휴장하는 날입니다.연휴를 앞두고 시장 참가자들이 위험을 다소 줄이려는 움직임도 주가 하락에 영향을 줬습니다.증시가 연일 출렁이다 보니 세계적으로 안전자산 선호 현상은 뚜렷해지고, 원자재 가격은 급등하고 있습니다.금 선물가격은 작년 6월 이후 최고치를 기록하고 있고러시아의 원유 공급이 차질을 빚을 수 있다는 우려에 국제 유가(브렌트유 기준)는 배럴당 90달러대까지 올랐습니다.이외에도 러시아의 생산 비중이 높은 알루미늄과 니켈 등의 가격도 빠르게 뛰고 있습니다.<앵커>원자재 가격 상승으로 물가에 대한 부담이 클 수밖에 없겠네요.<기자>네, 특히 수출 중심의 우리나라의 경우 원자재 가격 급등으로 산업 전반에 충격이 불가피한 상황입니다.지정학적 리스크가 단기적으로는 증시의 하방 압력을, 중장기적으로는 기업과 경기 성장에 대한 우려를 키우고 있는 겁니다.<앵커>박 기자, 그래도 실질적으로 전쟁이 일어날 가능성은 크지 않다고 보는 시각이 우세하지 않습니까.언제쯤 안정세를 되찾을까요.<기자>일단 현지 기준 오는 23일까지 기다려봐야 합니다.미국과 러시아 외무장관은 23일 회담을 가질 예정입니다.따라서 이 협상에서 어떤 결과가 도출될지에 따라 증시와 원자재 가격도 급변할 것으로 예상됩니다.뉴스에 시장의 변동성이 큰 시기인 만큼 증권업계에선 적극적으로 매매하기보다는 관망하는 태도가 적절하다고 조언합니다.아니면 상대적으로 주가의 등락 폭이 크지 않은 업종 위주로 구성된 로우볼ETF 등에 주목해 보는 것도 방법이라고 말합니다.<앵커>네, 이런 롤러코스터 장세에서는 로우볼ETF로 관심을 돌려보는 것도 방법이라는 조언이 나오는데요.관련 소식 정희형 기자가 보도합니다.<정희형 기자 리포트><앵커>박 기자, 지정학적 리스크가 이렇게 큰 가운데 코로나19에 대한 우려도 큽니다.계속해서 국내 일일 확진자가 10만명 안팎으로 나오지 않습니까.<기자>네, 국내 기준 누적 확진자가 200만명을 넘어선 상황입니다.다만 최근 팬데믹의 막바지로 풍토병을 의미하는 `엔데믹`으로 전환할 것이란 기대감은 오히려 커지고 있습니다.스테판 방셀 모더나 CEO는 지난주 팬데믹이 최종 단계에 있다고 보느냐는 질문에 ""타당한 시나리오""라고 답변했고미국은 하와이를 제외한 모든 주에서 마스크 착용 의무화를 해제하기로 했습니다.우리 정부에서도 위중증과 치명률이 떨어지는 오미크론 변이 바이러스가 유행하는 현 상황이 엔데믹 전환에 유리하다고 보고 있습니다.물론 아직 조심스러운 상황이긴 하지만 국내외 증권가에선 엔데믹 전환에 따른 리오프닝주의 수혜를 점치고 있습니다.<앵커>오히려 리오프닝 관련주에 대한 투심이 개선되고 있군요.<기자>네, 블랙스톤은 호주 카지노 업체를 7조6천억원에 인수해 화제가 되기도 했고요.국내에서도 강원랜드 등 카지노 산업에 대해 주목하고 있습니다.엔터주뿐 아니라 여행, 항공, 호텔 등도 대표적인 리오프닝주로 꼽힙니다.증권업계에선 높아진 백신 접종률과 엔데믹 전환 논의에 힘입어 리오프닝주의 접근성 회복은 시간 문제라고 평가하고 있습니다.<앵커>잘 들었습니다.


"
