title,content
"전기화학 관련 개발 제품 설명 듣는 임혜숙 장관


","    (서울=연합뉴스) 임혜숙 과학기술정보통신부 장관이 21일 오후 충청북도 청주시 흥덕구 테크윈을 방문해 정붕익 테크윈 대표, 김정식 테크윈 부사장으로부터 전기화학 관련 개발 제품 설명을 듣고 있다. 2022.2.21 [과학기술정보통신부 제공. 재판매 및 DB 금지]    photo@yna.co.kr


"
"전기화학 관련 개발 제품 설명 듣는 임혜숙 장관


","    (서울=연합뉴스) 임혜숙 과학기술정보통신부 장관이 21일 오후 충청북도 청주시 흥덕구 테크윈을 방문해 김정식 테크윈 부사장으로부터 전기화학 관련 개발 제품 설명을 듣고 있다. 2022.2.21 [과학기술정보통신부 제공. 재판매 및 DB 금지]    photo@yna.co.kr


"
"전기화학 관련 개발 제품 설명 듣는 임혜숙 장관


","    (서울=연합뉴스) 임혜숙 과학기술정보통신부 장관이 21일 오후 충청북도 청주시 흥덕구 테크윈을 방문해 정붕익 테크윈 대표(왼쪽), 김정식 테크윈 부사장(오른쪽)으로부터 전기화학 관련 개발 제품 설명을 듣고 있다. 2022.2.21 [과학기술정보통신부 제공. 재판매 및 DB 금지]    photo@yna.co.kr


"
"폴더블폰 2026년 1억대 돌파…판 커진다


","2026년 전체 소형 OLED 중 9.7% 차지 전망전세계 폴더블폰 시장이 4년 뒤인 2026년 1억대를 돌파할 전망이다.21일 시장조사업체 유비리서치에 따르면 폴더블폰은 2019년부터 본격적으로 증가 추세에 올라 지난해 1천만대를 넘으며 전체 소형 OLED 디스플레이의 1.4%를 차지했다. 올해 폴더블폰은 전체 소형 OLED 중 2.8%로 성장한 후, 매년 증가해 2026년에는 1억대를 넘어서며 전체 중 9.7%를 차지할 것으로 전망된다.소형 OLED 응용별 출하량 전망(자료=유비리서치)소형 OLED 디스플레이(10인치 이하)는 폴더블폰 뿐 아니라 스마트워치, 스마트폰에탑재가 꾸준히 늘어나고 있다. 지난해 소형 OLED 출하량은 7억4천600만대로 전년(5억5천500만대) 보다 34.4% 상승했다.소형 OLED 출하량이 증가한 이유는 애플의 아이폰12, 아이폰13 판매 증가와 폴더블폰 갤럭시Z폴드3와 플립3의 예상치 못한 판매 호조의 영향때문이다.유비리서치는 지난해 소형 OLED 매출액은 381억달러(약 45조4천342억원)로 전년 256억달러(30조5천280억원) 보다 43.9% 상승했다고 집계했다.소형 OLED 패널 출하량(자료=유비리서치)


"
"[데일리안 오늘뉴스 종합] 문대통령 ""오미크론 정점 머지 않아…정부 믿어 달라"", 여야 추경 협상 결렬…與, 7시 본회의서 16.9조 수정안 처리, 윤석열 ""탈원전 정책 백지화…원전 최강국 만들 것"" 등


","문재인 대통령이 21일 청와대 여민관에서 열린 수석보좌관회의에서 발언하고 있다. ⓒ청와대[데일리안 = 김민희 기자] ▲문대통령 ""오미크론 정점 머지 않아…정부 믿어 달라""문재인 대통령은 21일 정부의 코로나19 대응과 관련해 ""국민들께서 정부를 믿고 자신감을 가져주시길 바란다""고 당부했다.문 대통령은 이날 오후 청와대에서 주재한 수석보좌관회의에서 ""이제 오미크론 유행도 정점을 지날 날이 머지않았다. 지금의 시간을 잘 견뎌낸다면, 일상회복으로 더욱 자신감 있게 나아갈 수 있을 것""이라면서 이같이 말했다.문 대통령은 ""지금 우리 정부의 오미크론 대응체계는 위중증 관리에 중점을 두고, 의료 대응체계의 여력을 유지해 나가는 데 목표를 두고 있다""며 ""확진자 수의 폭증이 사망자의 증가로 이어진 외국의 사례들을 교훈 삼아, 확진자 수가 증가하더라도 위중증과 사망의 위험도를 낮추는 데 역량을 집중함으로써 국민의 생명과 안전을 효과적으로 지켜내기 위한 것""이라고 설명했다.▲여야 추경 협상 결렬…與, 7시 본회의서 16.9조 수정안 처리여야가 21일 추가경정예산(추경)안 본회의 처리를 위해 막판 협상에 돌입했지만 끝내 접점을 찾지 못했다. 더불어민주당은 이날 오후 7시에 열리는 본회의에서 야당이 불참하더라도 총 16조9000억원 규모의 추경안을 처리하겠다는 방침이다.민주당 윤호중 원내대표와 한병도 원내수석부대표, 국민의힘 김기현 원내대표와 추경호 원내수석부대표는 이날 오후 국회의장실에서 박병석 국회의장 주재로 회동했으나 합의안 도출에 실패했다.윤 원내대표는 회동 후 기자들과 만나 ""여야간 합의는 이뤄지지 않았다""면서 ""우리 당은 그럼에도 추경안이 오늘 중에 처리돼야 한다는 입장을 분명히 했다""고 밝혔다.윤 원내대표는 ""예결위에서 통과한 추경안이 본회의에 부의되면 민주당이 수정안을 제출할 예정""이라며 ""이 수정안을 처리할 것""이라고 말했다.▲윤석열 ""탈원전 정책 백지화…원전 최강국 만들 것""윤석열 국민의힘 대선후보가 21일 ""탈원전 정책을 백지화하고 원전 최강국을 건설하겠다""고 말했다.윤 후보는 이날 본인 페이스북에 ""외국에 대한 에너지 의존도를 낮추고, 탄소를 감축하기 위해 원자력 발전을 병행하는 것은 세계적인 추세""라며 ""최근 EU 택소노미에서도 원전은 녹색에너지라는 점을 분명히 했다""고 적었다.우선 그는 탈원전 정책을 추진하다 재차 원전 강화를 공언한 에마뉘엘 마크롱 프랑스 대통령 관련 기사를 올리면서 ""프랑스의 마크롱 대통령은 5년 전 '탈원전'을 선언했던 본인의 말을 뒤집고, '원전 유턴'을 선언했다""고 설명했다.▲尹 43.3%, 李 36.4%…격차 오차범위 밖 6.9%P윤석열 국민의힘 대선후보가 이재명 더불어민주당 대선후보와의 지지율 격차를 벌리면서 오차범위 밖에서 앞선다는 여론조사 결과가 21일 나왔다.동아일보가 리서치앤리서치에 의뢰해 18~19일간 성인남녀 1006명을 대상으로 한 여론조사에서 윤 후보의 지지율은 43.3%로 집계됐다. 이 후보의 지지율인 36.4%와는 오차범위 밖(표본오차는 95% 신뢰수준에 ±3.1%p)인 6.9%p의 격차가 발생했다.▲2천명 운집 '택배노조' 집회, 진보당 선거유세로 신고…꼼수 집회 비난과로사 방지를 위한 사회적 합의 이행을 요구하며 56일째 파업중인 민주노총 전국택배노동조합(택배노조)가 14일 2000여명이 결집하는 대규모 집회를 열었다. 이날 집회는 진보당 대선 후보의 선거유세로 신고돼 인원 제한을 받지 않아 '꼼수 집회'라는 비난이 쇄도하고 있다. 노조는 집회에서 CJ대한통운 본사 점거 농성을 일부 해제하기로 하며 대화 해결의 여지를 남겼다.택배노조는 14일 오후 2시 서울 종로구 청계광장에서 '2022 전국 택배노동자대회'를 열고 ""사측은 과로사 방지 사회적 합의를 이행하고 파업 사태 해결을 위해 대화에 나서야 한다""고 촉구했다. 이날 행사는 CJ대한통운 외에도 로젠·롯데·한진·우체국 택배노조도 참석해 이날 집회 측 추산으로 2000여명이 현장에 운집했다.▲공모주 투자 열기에 주식거래 계좌 6000만개 돌파공모주 청약 열풍에 힘입어 주식 투자용 계좌 수가 사상 최초로 6000만개를 돌파했다.21일 금융투자협회에 따르면 주식 거래 활동 계좌 수는 지난 18일 기준 6004만183개로 집계됐다. 작년 8월 5000만개를 돌파한 이후 6개월 만에 6000만개를 넘어섰다.주식 거래 활동 계좌는 예탁자산이 10만원 이상이면서 최근 6개월간 한 차례 이상 거래가 이뤄진 위탁매매계좌 및 증권저축계좌를 말한다. 1월 우리나라 주민등록 인구 5163만명을 기준으로 보면 국민 1명당 주식 거래 계좌를 1개 이상 보유한 셈이다.▲청년희망적금 5부제 신청자는 전원 가입 가능할 듯최고 연 10%대 금리와 같은 효과를 내는 청년희망적금이 공식 출시되면서 가입 신청이 폭주하는 가운데 이번 주 5부제 기간 내 신청자는 배정 예산과 무관하게 전원 가입이 가능할 것으로 보인다.21일 연합뉴스의 보도에 따르면 금융위원회는 5부제 기간의 청년희망적금 가입 신청은 모두 접수할 방침인 것으로 알려졌다.KB국민·신한·하나·우리·NH농협·IBK기업·BNK부산·DGB대구·광주·전북·제주은행은 이날 오전 9시부터 청년희망적금 가입 신청을 받기 시작했다.청년희망적금 출시 첫 주인 21~25일에는 출생연도 끝자리에 따라 가입 신청 요일을 구분하는 5부제 방식으로 가입을 받는다. 21일에는 1991년·1996년·2001년생을 대상으로, 22일에는 1987년·1992년·1997년·2002년생으로부터 신청을 받는 식이다.▲장병규 크래프톤 의장, 100억 규모 주식 매입…주가반등 총력 장병규 크래프톤 의장이 100억원 규모의 자사 주식을 매입했다. 최근 크래프톤의 주가가 공모가 대비 절반 가까이 떨어지면서 주가 부양에 나선 것이다.21일 금융감독원 전자공시시스템에 따르면 장병규 의장은 지난 17일과 17일에는 1만8000주를 27만5735원에, 18일에는 1만8570주를 27만1323원에 각각 장내 매수했다. 매입 규모는 총 3만6570주로, 100억169만원에 달한다.이번 자사주 매입은 장 의장의 크래프톤 주주가치 제고를 위한 의지로 풀이된다. 앞서 그는 지난 10일 진행된 지난해 4분기 실적발표 콘퍼런스콜에서 ""최근 주가가 중장기적으로 저평가됐다고 판단한다""며""크래프톤 주식을 일정 부분 매입할 예정이며 추후 공시할 것""이라고 밝힌 바 있다.


"
"이재명 “신속 항원진단키트 신속 보급, 모바일 예약시스템 서둘러 달라”


","[디지털데일리 심민섭기자] 이재명 더불어민주당 대선 후보는 21일 SNS를 통해 “오미크론의 강력한 전염력에 따라 K-방역의 대전환이 필요한 시점”이라고 강조하고. 유연하고 합리적인 스마트 방역을 촉구했다. 이 후보는 “오미크론은 치명률은 낮지만 강한 전파력을 갖고 있기 때문에 고령자와 기저질환자 같은 고위험군을 보호하는데 방역역량을 집중하도록 방역 전략을 바꿔야 한다”고 주문했다.이 후보는 ‘스마트 방역과 의료 대응체계’를 위해 먼저, 재택치료자에 대해서 의약품 구입비 등에 소요되는 비용을 지원하기 위해 1인당 10만 원의 추가 지원금을 지급하겠다고 약속했다. 또 신속하고 과학적인 진단 및 접종을 위해 신속항원진단키트의 보급문제를 해소하고 약국과 편의점 등에 원활하게 공급하도록 하겠다고 밝혔다. 이와관련 이 후보는 “추운 날씨에 길게 줄을 서지 않도록 정부는 모바일 앱 등을 활용한 예약 시스템을 하루 빨리 구축해 달라”고 정부에 촉구했다. 한편 이 후보는 3차 접종자에 한해 거리두기 제한을 밤 12시까지 완화해줄 것도 요구했다. 이 후보는 “6인에서 8인, 10인으로 집합 인원을 늘릴 수 없다면, 3차 접종자만이라도 더 머물 수 있도록 완화하는 것이 맞다”고 견해를 밝혔다. 아울러 당선되면 3월 10일부터 당국과 협조해서 바로 거리두기를 완화를 시행하겠다고 약속했다.


"
"지니언스, 사상 최대 실적 기록…영업익 128% 증가한 59억원


","지니언스가 지난해 연결기준 매출 319억원, 영업이익 59억원을 기록했다. 매출은 전년 대비 19%, 영업이익은 128% 증가한 수치로 역대 최대 실적이다.지니언스는 디지털 트랜스포메이션 시대를 맞아 재택·원격 등 비대면 서비스 보안 사업 확대 및 지능화되고 고도화된 사이버 위협에 대응하는 보안 솔루션 사업 호조로 역대 최대 매출을 기록했다고 설명했다.시장 점유율 1위를 기록하고 있는 NAC 사업은 기존 고객의 확장 수요와 빅테크 기업 중심의 신규 고객 증가로 매출이 증대했다. 대형 제조 기업 및 해외 법인 등의 고객을 확보했으며 제로트러스트 NAC 등 글로벌 경쟁력을 보유한 신기술 로드맵으로 시장을 선도 했다. 특히, 클라우드 NAC 부분은 누적 고객 수 100곳을 돌파하여 높은 성장세를 기록했다.EDR 사업은 국내 최초 개발한 이래 지난해 누적 고객 100곳을 돌파해 국내 최다 고객을 확보했다. 주요 정부 부처 수주를 바탕으로 공공기관 및 지자체로 시장이 확산됐다. 공공금융제조 등 산업별 대표 기업을 고객으로 확보하고 하이엔드 시장 선점 확대로 EDR 1위 기업의 위상을 확고히 했다.지니언스는 지난해 사업성과를 바탕으로 올해는 추가 성장 동력 확보에 박차를 가한다는 계획이다. NAC사업은 핵심 보안 기술에 기반해 5G MEC 등의 시장을 세분화 & 전문화하여 추가 성장 동력을 마련하고 EDR 부분은 엔드포인트를 넘어 네트워크, 클라우드 등 IT전체의 위협을 탐지분석대응하는 XDR 시장까지 확대한다는 전략이다. 클라우드OT 등 사업포트폴리오 확대, 중장기적으로 개인을 대상으로 하는 B2C 시장의 정보보호 등 신 수종 사업 육성을 통해 과감히 돌파하고 성장하는 지니언스가 된다는 계획이다.이동범 지니언스 대표는 “R&D 투자를 강화해 급변하는 시장에 선제적으로 대응할 것”이라며 “2올해는 퀀텀 점프를 위한 성공적 변화를 안착시키는데 주력 할 것”이라고 말했다.


"
"""시계에 머리끈 달았나"" 조롱거리된 페북 '비장의 무기'


","/홈페이지 캡처[서울경제] 메타(옛 페이스북)가 개발 중인 스마트워치의 예상 디자인이 공개됐다. 특히 시곗줄 용도로 고무끈을 적용한 것을 두고 일부 누리꾼들은 ‘머리끈’ ‘찜질방 열쇠’ 등 조롱 섞인 반응을 보이기도 했다.IT전문매체 렛츠고디지털은 최근 산업 디자이너 사랑 셰스(Sarang Sheth)가 메타의 특허를 기반으로 완성한 메타 스마트워치 이미지를 공개했다.공개된 이미지를 보면 메타의 스마트워치는 모서리가 둥근 사각형 형태의 화면에 메타 로고를 연상시키는 파란 고무끈이 달릴 것으로 보인다. 특히 시곗줄로 예상되는 파란 고무끈은 기존 스마트워치에 비햐 착용이 손쉬울 것이란 평가가 나온다. 또 손목에 착용했을 때 피부 자극도 덜할 것으로 보인다. 다만 이른바 '줄질'로 불리는 시곗줄 교체가 불가능해 젊은 소비자의 감성을 만족시킬 수 있을지는 의문이다./홈페이지 캡처본체에 탑재된 전후면 카메라도 호불호가 갈렸다. 메타는 전면 디스플레이 상단 노치에 카메라 렌즈를 탑재해 스마트워치로 영상통화나 라이브방송을 쉽게 즐기도록 했다. 이는 페이스북과 인스타그램 등 자사 소셜미디어(SNS)와의 시너지를 극대화하기 위한 전략이기도 하다.하지만 손목에 노출된 카메라가 사생활 침해 등으로 이어질 수 있다는 지적도 나온다. 삼성전자와 애플도 이를 고려해 스마트워치에 카메라를 탑재하기 않았다./홈페이지 캡처탈착식 디스플레이를 탑재한 점은 메타 스마트워치의 특징으로 꼽힌다. 또 분리한 디스플레이를 뒤집으면 숨어있던 또다른 카메라가 등장한다. 앞서 IT전문매체 더버지는 페이스북 스마트워치가 분리형 디스플레이로 카메라를 앞뒤에 탑재할 것이라고 지난해 전한 바 있다.후면 카메라는 액션캠 '고프로(Gopro)'처럼 사용할 수 있다. 또 전면 카메라와 동시에 촬영하는 듀얼 녹화도 가능할 전망이다. 다만 분리하지 않을 경우 이 카메라를 전혀 활용할 수 없는 것은 단점이다. 작은 크기의 메타 스마트워치에 담길 카메라의 성능이 최신 스마트폰을 뛰어넘기는 힘들 것이라는 전망도 나온다./홈페이지 캡처한편 외신들은 메타 스마트워치의 예상 이미지에 대해 갤럭시워치나 애플워치와는 다소 다른 '이상한(odd) 디자인'이라는 평가를 내놨다. 레츠고디지털은 메타 스마트워치가 이르면 올 여름께 출시될 것으로 전망했다.


"
"메이플스토리 굿즈 펀딩, 하루 만에 6800만원 모였다


","넥슨-와디즈, 메이플스토리 굿즈 22종 공개펀딩 방식 제조, 제품별로 수천만원씩 몰려[이데일리 최훈길 기자] 크라우드펀딩 플랫폼(라이프디자인 펀딩플랫폼) 기업 와디즈가 게임사 넥슨과 함께 출시한 ‘메이플스토리’ IP(지식재산권) 제품이 첫날부터 흥행을 보이고 있다. 메이플스토리 핑크빈 캐릭터가 있는 버섯 모양의 무드등에는 806명(21일 오후 7시50분 기준)이 6895만7177원을 펀딩했다. 제조업체가 제품을 만들기 위해 제시한 목표 금액(50만원)의 13791%를 달성한 것이다. (사진=와디즈)와디즈는 넥슨 메이플스토리 편의 최종 라이선스 제품 22종을 공개하고 21일부터 펀딩을 시작했다고 이날 밝혔다. 메이플스토리의 핵심 캐릭터인 핑크빈, 예티, 돌의정령, 주황버섯, 슬라임을 활용한 무선 충전기, 가습기, 커피머신, 스피커 등 다양한 제품이 공개됐다.제품이 공개된 지 하루도 채 안 돼 수천만원이 몰렸다. 메이플스토리 핑크빈 캐릭터가 있는 버섯 모양의 무드등에는 806명(21일 오후 7시50분 기준)이 6895만7177원을 펀딩했다. 제조업체가 제품을 만들기 위해 제시한 목표 금액(50만원)의 13791%를 달성한 것이다. 이번 메이플스토리 IP제품화 사업에 선정된 제조업체(메이커)에는 2000만원 상당의 넥슨 캐시 쿠폰이 지원된다. 아울러 성수동 ‘공간 와디즈’ 특별 전시, 제품 전시 스케치, 인터뷰 영상 등 다양한 홍보 기회도 제공된다.메이플스토리 제품화 사업에 선정된 굿앤디자인의 강다영 MD는 “와디즈와 넥슨의 컨설팅을 통해 좋은 굿즈를 선보일 수 있는 계기가 됐다”고 말했다. 켈베로스(씨앤씨디자인)의 정봉준 작가는 “하나의 캐릭터를 시작으로 시리즈화 등 다양한 확장 가능성이 크다는것이 펀딩의 장점”이라고 전했다. 윤석현 넥슨 신규사업실 실장은 “코로나 팬데믹으로 오프라인에서 만날 기회가 현저히 줄어든 유저들에게 좋은 굿즈를 제공할 수 있는 계기가 됐다”며 “어려움을 겪고 있는 제조 스타트업들에게 새로운 제작·유통 기회를 제공해 상생의 가치를 만들 수 있게 됐다”고 강조했다.


"
"(영상)SKT, 최태원이 직접 챙긴다...AI 혁신 가속화 예고


","최태원 회장, SKT 미등기 임원으로 경영 참여그룹 전방위 혁신 의지 내포'사피온' 설립...AI 전략 강화 '적기' 평가21일 이데일리TV 뉴스.<앵커>최태원 SK그룹 회장이 SK텔레콤의 회장직을 맡고 미래 먹거리 사업을 직접 챙깁니다. AI와 디지털 혁신에 속도를 낼 것이란 분석이 나오는데요. 관련 소식 이혜라 기자가 취재했습니다.<기자>통신을 넘어 AI 등 차세대 산업 전략 강화를 도모해온 SK텔레콤. 앞으로 미래 먹거리 사업에 속도가 붙을 전망입니다.SK(034730)그룹은 오늘 오전 최태원 회장이 SK텔레콤의 무보수 미등기 회장직을 맡아 AI 사업과 디지털 혁신을 가속화하는 데 힘을 보탤 것이라고 밝혔습니다.이날 최 회장도 SK텔레콤(017670) 사내게시판에 “글로벌 AI 컴퍼니로의 혁신은 미룰 수 없는 과제고 도전을 위한 기회와 시간이 얼마 남지 않았다”며 “SK텔레콤의 도전에 함께 하겠다”고 언급했습니다.이는 최 회장이 그룹 차원에서의 전방위적 혁신 의지를 보여주는 것이란 평가입니다. 그동안 최 회장이 SK하이닉스(000660)와 SK이노베이션의 미등기 회장을 맡아 인텔 낸드플래시 사업 인수, 친환경사업 강화 등을 주도한 만큼 SKT에서도 이와 같은 적극적 행보가 나오지 않겠냐는 분석입니다.수년째 AI 사업을 강조했지만 눈에 띄는 성과가 없었던 점도 최 회장이 조력자를 자처한 이유로 풀이됩니다. 실제 SKT의 전략 태스크포스(TF) ‘아폴로’가 지난해 출범했지만 이후 뚜렷한 성과를 내지 못했습니다. 지난달 SK텔레콤이 SK스퀘어(402340)·SK하이닉스와 함께 AI 반도체 법인 ‘사피온’을 설립하며 관련 사업 강화를 예고한 만큼 최 회장이 나설 적기였단 의견도 나옵니다.업계에서는 최 회장의 겸직을 계기로 SKT의 신사업 추진, 전략적 M&A 등 대규모 투자에 더욱 힘이 실릴 것이라는 평가입니다.[권희춘/한국인지과학산업협회장]“(최태원 회장 등판으로) SK 사업 분야에서 딥러닝 기반의 인공지능 솔루션이라든가 이런 것들이 많이 발굴되겠죠. SK가 가지고 있는 다양한 리소스를 활용함으로써 다양한 사업이 발굴될 것으로 보입니다. 기업 인수도 공격적으로 할 것 같아요.”재계가 경쟁적으로 AI 투자에 나서고 있는 분위기 속에서 최태원 회장의 적극적인 행보가 어떤 결실을 맺을 지 관심이 쏠리고 있습니다. 이데일리TV 이혜라입니다.


"
