title,content
"[종합뉴스 날씨] 내일 서울 아침 기온 -8˚ C… 서해안 눈


","동영상 뉴스[1] 한 주의 시작부터 추위에 눈까지 날씨가 참 얄미웠습니다. 오늘 서울에도 잠깐이지만 꽤 굵은 눈발이 쏟아지기도 했는데요, 현재도 곳곳으로는 눈이 내리고 있습니다. 강원중부산간으로는 대설주의보가 발효된 가운데, 오늘 밤까지 강원내륙과 산지에 3cm, 제주 산지에는 눈이 날리겠고요 게다가 기온까지 낮아서 빙판길 조심하셔야겠습니다. [2] 서해 상에서는 계속해서 눈구름이 발달하면서 내일도 눈 소식이 들어 있습니다. 내일 늦은 오후부터 새벽 사이 서해안을 따라서는 최고 3cm가 예상되구요 충청내륙에는 눈이 날리겠습니다. 다만, 동쪽지역으로는 차고 건조한 바람이 불어 들면서 건조특보가 계속 되고 있습니다. [3] 한편 당분간 두꺼운 옷차림은 필수겠습니다. 내일도 서울의 아침 기온 영하 8도로 출발하면서 평년을 크게 밑돌겠고요, 한낮에도 0도, 여기에 체감온도는 더 낮아서 종일 영하권 추위를 보이겠습니다. 이 찬바람은 주 후반은 돼서야 잦아들겠습니다. [중부] 내일 중부지방 한파특보가 계속되면서 한낮에도 기온 크게 오르지 못하겠습니다.[남부] 창원과 울산은 영하 4도로 출발해 한낮에 5도까지 오르겠습니다. [동해안] 눈이 닿지 않는 동해안은 산불소식이 잇따르는 만큼 불조심해주시기 바랍니다. [주간] 당분간 대체로 맑은 날들이 많겠고요, 토요일에는 수도권과 영서에 눈이나 비가 내리겠습니다. 날씨였습니다.  (정예은 기상캐스터)#MBN #날씨 #정예은 #MBN종합뉴스 #MBN날씨


"
"'자산 매각명령 불복' 미쓰비시 항고 연거푸 기각(종합)


","대전지법 ""피해자 2명분 5억원 상당 특허권 등 현금화"" 명령 유지미쓰비시중공업 ""일본 정부와 함께 적절히 대응""다른 피해자 2명은 별세징용 배상 요구 일본 시민단체 '금요행동' 재개(도쿄=연합뉴스) 김호준 특파원 = 신종 코로나바이러스 감염증(코로나19) 확산으로 중단된 일본 시민단체의 '금요행동'이 26일부터 다시 시작됐다. '나고야 미쓰비시 조선여자근로정신대 소송을 지원하는 모임'은 이날 오전 도쿄 미쓰비시(三菱)중공업 본사 앞에서 강제 동원에 대한 사죄와 배상을 촉구하는 집회(금요행동)를 1년 8개월 만에 재개했다. 집회 현장에 한국 시민단체인 '근로정신대 할머니와 함께하는 시민모임'의 플래카드도 걸려 있는 모습. 2021.11.26 hojun@yna.co.kr    (대전·도쿄=연합뉴스) 이재림 기자 박성진 특파원 = 일제강점기 강제노역 피해 배상을 외면해온 일본 미쓰비시중공업의 자산 매각명령 불복 항고 사건에 대해 법원이 연거푸 기각 결정을 내렸다.    21일 법조계에 따르면 대전지법 민사항소3부와 4부는 최근 미쓰비시중공업의 강제노역 피해자 양금덕(93)·김성주(93) 할머니에 대한 상표권·특허권 특별현금화(매각) 명령 즉시항고를 잇달아 기각했다.    대전지법은 기각결정 정본을 공시송달하며 ""항고인인 미쓰비시중공업 측은 법원에 직접 방문에 서류를 받아가라""고 안내했다.    공시송달은 소송 상대방이 서류를 받았다는 사실 확인이 어려운 경우 법원 게시판이나 관보 등에 관련 내용을 실어 당사자에게 전달된 것으로 간주하는 제도다.     앞서 지난해 9월 27일 대전지법 민사28단독 재판부는 압류된 미쓰비시중공업의 5억여원 상당 채권(상표권·특허권)을 매각할 것을 주문했다.    미쓰비시중공업 측이 양금덕·김성주 할머니를 상대로 제기한 상표권·특허권 압류명령 재항고 사건을 지난해 9월 10일 대법원 1부(주심 노태악 대법관)가 기각한 데 따른 후속 절차였다.    구체적인 매각 대상은 상표권 2건(양금덕 할머니 채권)과 특허권 2건(김성주 할머니 채권)이다.    매각을 통해 확보할 수 있는 액수는 1명당 2억970만원(이자·지연손해금 포함) 상당이다.    일제강점기 강제노역 피해와 관련해 국내에서 법원이 일본 기업 자산 매각 명령을 내린 것은 이게 처음이었다.    이 결정이 확정되면 미쓰비시 측은 피해자 2명분의 5억여원 상당 특허권·상표권을 현금화해야 한다.    다만, 미쓰비시중공업 측이 상고하면 대법원에서 최종 결정된다.    미쓰비시중공업은 법원의 잇따른 기각결정에 대해 ""일본 정부와 함께 적절히 대응하겠다""고 밝혔다고 일본 교도통신이 보도했다.    이 회사와 일본 정부는 강제노역 피해자의 청구권에 관한 문제는 1965년 한일청구권협정으로 해결됐다는 입장이다.     교도통신은 미쓰비시중공업이 상고하면 재판 진행 중에는 상표권·특허권을 매각할 수 없기 때문에 실제 매각까지는 시간이 걸릴 것으로 전망했다.근로정신대 박해옥 할머니 별세(광주=연합뉴스) 일제 강점기 미쓰비시중공업으로 동원돼 강제 노역을 해야 했던 피해 당사자 박해옥 씨가 지난 16일 투병 끝에 별세했다. 향년 92세. 사진은 고(故) 박해옥 씨. 2022.2.17    [근로정신대 할머니와 함께하는 시민모임 제공. 재판매 및 DB 금지] photo@yna.co.kr    두 할머니와 함께 소송을 제기한 강제노역 피해자 박해옥 할머니는 특허권 2건 압류명령에서 최종 승소했지만, 특별현금화 명령 판단 진행 중이던 지난 16일 별세했다.    이동련 할머니의 특허권 2건 압류명령 항고 사건은 대전지법에서 1년 1개월 넘게 검토하고 있다.    walden@yna.co.kr


"
"코로나19로 '소아비만' 늘어…당분 섭취 줄이고 정기적 검진 받아야


","유디치과 ""당분 많은 간식 줄이고, 초기에 치료 받아야""소아비만환자, 치통 1.08배·입냄새 1.43배 위험 높아© 뉴스1(서울=뉴스1) 김규빈 기자 = 신종 코로나바이러스 감염증(코로나19)으로 야외활동은 줄었지만, 고열량 인스턴트 식품 섭취 등으로 인해 소아비만이 늘어났다는 통계가 나왔다. 소아비만은 치통, 잇몸출혈, 구취가 나타날 가능성이 크기 때문에 치아관리에 주의해야한다는 분석이다.21일 유디치과는 서울시교육청이 공개한 '2021 학생 건강검진 결과'에 따르면 서울 초·중·고교생의 32.1%가 과체중이거나 비만으로 나타났다고 밝혔다. 이는 코로나19 유행 전인 2019년 26.7%보다 5.4% 늘어난 수치이다. 또 2019년 청소년건강행태조사 자료를 바탕으로 체질량지수와 구강 증상의 연관성을 분석한 결과 과체중 그룹이 정상 체중 그룹보다 치통, 잇몸 출혈 등 구강 증상 경험이 1.08배 높은 것으로 나타났다. 구취 경험은 비만 그룹이 1.43배 더 많은 것으로 조사됐다.심학수 가산 유디치과의원 대표원장은 ""아이들이 선호하는 빵, 과자, 탄산음료에는 높은 당분이 포함되어 있는데, 당분을 과도하게 섭취하면 치아의 겉면인 에나멜층이 부식되고 충치균 번식을 촉진해 충치 발생 위험을 높인다""며 ""소아비만 환자는 정기적인 치과 검진을 통해 질환을 조기에 발견하고 예방하는 것이 중요하다""고 조언했다.소아비만을 예방하고 치아의 올바른 성장을 위해서는 Δ아침식사 챙겨먹기 Δ음식 오래 씹는 습관 가지기 Δ음식 섭취 후 양치질하기 Δ과자, 인스턴트 식품 섭취 줄이기 Δ점유질이 풍부한 야채와 과일 섭취하기 등의 습관을 갖는게 좋다.특히 만 7~12세는 유치와 영구치가 혼재하는 혼합치열기인 만큼 증상이 나타나면 초기에 치료를 받는 것이 중요하다. 충치가 발생했다면 충치 부위를 제거하고 치아 색과 유사한 재료로 채우는 광중합형 복합레진 치료를 받게 되는데, 만 12세 이하 아동이라면 본인부담률 30%로 건강보험 혜택을 받을 수 있다. 치아 수 제한은 없지만, 유치는 건강보험 적용이 되지 않는다. 충치 예방을 위해서는 정기적인 불소 도포를 받는 것도 도움이 된다. 음식물이 끼어 충치가 발생하기 쉬운 어금니 홈을 메우면 치아가 우식되는 것을 예방할 수 있다. 만 18세 이하라면 총 8개의 영구치에 본인부담률 10%로 치료받을 수 있다. 또 홈을 매운 재료가 탈락한 경우, 첫 치료 후 2년이 지나면 다시 건강보험 혜택을 받을 수 있다. 심학수 대표원장은 ""식사 후에는 아이 스스로 양치하는 습관을 기르게 하고, 칫솔이 닿지 않아 덜 닦인 부분이 없는지 마무리 점검을 하는 것이 좋다""며 ""성장기 아이들은 6개월~최소 1년에 한 번 검진을 권장하는데, 개학을 앞두고 치과를 방문해 치아 건강을 점검해 보는 것이 좋다""고 말했다.


"
"서울 오후 9시까지 2만1810명…5일 연속 2만명대(종합)


","전날 같은 시간보다 1787명 많아21일 오전 서울 중구 서울역광장에 마련된 임시선별진료소를 찾은 시민들이 검사를 받기 위해 줄을 서 있다. 2022.2.21/뉴스1 © News1 이재명 기자(서울=뉴스1) 전준우 기자 = 서울에서 21일 오후 9시까지 신종 코로나바이러스 감염증(코로나19) 확진자가 2만1810명 잠정 발생했다.오후 6시 기준 1만4630명에서 3시간 사이 7180명 추가됐다. 전날 같은 시간 2만23명과 비교하면 1787명 늘었다. 서울 하루 확진자 수는 지난 17일부터 2만5651→2만3193→2만2102명→2만18명으로 나흘 연속 2만명대를 기록했다.0시 기준 발표되는 21일 하루 확진자 수도 2만명을 웃돌며 5일 연속 2만명대를 이어갈 전망이다.


"
"이삿짐 사다리차 넘어져 사망사고…차량 5대 파손 '와르르'


","21일 오후 2시 12분께 서울 노원구 상계동의 한 아파트 단지에서 대형 사다리차가 넘어지는 사고가 발생했다.소방과 경찰에 따르면 이 사고로 지나가던 행인 60대 여성 A씨가 중상을 입어 사망했고, 8세 남아 B군은 경상을 입어 병원으로 이송됐다. 인근에 주차돼있던 차량 5대도 파손됐다.이 사다리차는 아파트 17층에 이삿짐을 옮기는 작업을 마친 뒤 사다리를 다시 접는 과정에서 넘어진 것으로 알려졌다.경찰은 정확한 사고 원인과 경위를 조사 중이다.


"
"[뭐라노]가수 유자와 라노의 품앗이 샤라웃(Shout out)


","‘넘버원 1등 우유♪ 기억 속의 1등 우유 ♬’. 안녕하세요 국제신문 뉴스레터 뭐라노의 마스코트 ‘라노’입니다.오늘 와이라노는 부산우유 CM송인 ‘1등 우유’로 열었습니다. 이 노래는 부산 토박이 유자(곽유진)가 부른 중독성 강한 곡. ‘쇼미더머니 8’에 출연해 이름을 알린 유자는 최근 부산음악창작소의 도움을 받아 신곡을 발표했습니다. 노래 제목이 라노가 만들고 있는 뉴스 콘텐츠와 똑같은 ‘와이라노(why라노)’더군요. 반가운 마음에 유자에게 연락해 “함 봅시더” 했더니 재밌는 우연이라며 수락. 대놓고 품앗이 샤라웃(매체에서 누군가를 언급하고 응원하는 것)을 약속하고 만난 유자 이야기, 들려 드릴게요.지난 17일 해운대구 모 카페에서 라노가 가수 유자와 기념촬영을 하고 있다. 국제신문DB“일상에서 자주 사용하는, 재밌는 사투리를 노래에 넣고 싶었어요.” 지난 11일 발매된 ‘why라노’에 대한 유자의 설명입니다. 특유의 명랑함과 훅이 매력적인 힙합곡인데요. 와이라노를 한글로 써놓고 보니 부산 특유의 ‘쎈 느낌’이 들어 why라노로 했답니다. ‘오그라들 뻔 치우라고 서울말’ ‘표준어 패치 멀었나봐 속이 메쓱 기릿’ 등 재밌는 가사도 있습니다.‘why라노’는 부산음악창작소가 프로듀서 ‘프리즘필터’를 소개해 음반·뮤직비디오 제작을 전면 지원했죠. 유자는 “각자의 출신·지역과 취향의 다름을 존중하자는 메시지를 담으려 했다”고 했습니다.2001년생 유자는 해운대여고 출신입니다. ‘쇼미더머니 8’ 2차 예선에선 한여름밤 불청객 모기에 대한 불쾌감을 노래(일명 ‘모기송’)해 스윙스 등 심사위원들로부터 “폭넓은 공감과 신선함의 극치”라는 호평을 받았죠. “4차 예선까지 올라갈 동안 거의 매번 부산-서울을 당일치기로 오가는 강행군이었어요. 방송이 끝나고선 경성대를 자퇴하고 완전히 음악에 매진하고 있습니다.”래퍼 나플라의 ‘썸데이’라는 곡에 피처링으로 참여한 적이 있는 유자는 현재 또 다른 유명 래퍼(아직은 밝힐 수 없다고 하네요)와의 콜라보 프로젝트를 준비 중입니다.지난 17일 해운대구 모 카페에서 라노가 가수 유자와 만나 인터뷰를 진행하고 있다. (라노 화난 표정 아님 주의) 국제신문 DB “서울 가고 싶진 않아요?” 라노의 질문에 유자가 웃으며 건넨 답은 “따신(따듯한) 부산이 좋은데요”였습니다. 물론 서울행 생각을 안 해본 건 아닙니다. 실제 프로듀서로부터 서울에 오라는 제안을 받기도. 그는 “힙합씬이 비교도 안 되게 활성화된 서울에서 여러 자극을 받을 수 있는 게 사실”이라면서도 “부산은 내 고향이다. 함께하는 프로듀서와 동료 모두 부산에 있다”고 했습니다.작업이 안 풀릴 땐 청사포 미포철길을 산책하며 해운대 바다를 보면 속이 뻥 뚫린다고 하네요. 부산우유는 물론 부산시 홍보곡 ‘Love Yourself in BUSAN’ 제작에 참여하게 된 데는 이런 고향 사랑이 작용했습니다.유자는 공연 문화 활성화의 필요성도 강조했습니다. “지역 뮤지션들이 설 수 있는 자리가 너무 적어요. 코로나19로 그렇잖아도 적던 부산 공연은 더 줄었어요. 051vibe, 홀리데이이브 등 행사를 통해 매달 만나던 관객들의 함성이 사무치게 그립네요.” 그가 한숨을 내쉬며 털어놓은 말입니다. 현재 유자는 앨범 제작에 전력투구 중. 4~8곡이 수록되는 미니앨범 2장을 준비 중이에요. 그는 “받은 사랑에 사랑으로 보답하는 래퍼가 되고 싶다”고 했습니다.라노가 뭐라노 구독자들을 위해 대신 받은 싸인. 국제신문DB잠깐의 만남이었지만, 라노는 유자가 얼마나 ‘따신 사람’인지 알아볼 수 있었습니다. 쪼금 친해지기도 했어요! 혹시 기사를 보고 유자에게 하고 싶은 말이 생겼다면, 아래 링크를 눌러 편하게 남겨주세요. 라노가 고이 모아 전달하겠습니다. 링크: https://forms.gle/S1MvcsvsJ5iA7U7t5


"
"택시 잡으려던 남성 깔고 지나간 택시…도대체 왜?


","(사진은 기사와 관련이 없습니다)제주동부경찰서는 택시를 잡으려던 사람을 차로 친 혐의(교통사고처리 특례법상 치상)로 택시기사 A씨를 입건해 조사하고 있다고 21일 밝혔다.A씨는 지난 20일 오후 10시 50분께 제주시 이도2동 제주시청 인근에서 자신의 택시에 승객을 태우고 출발하며 앞바퀴로 도로에 넘어져 있던 B씨의 가슴 부위를 깔고 지나간 혐의를 받는다.택시를 잡으려고 도로에 내려왔던 B씨는 앞서 A씨의 택시 범퍼에 치여 넘어졌던 것으로 파악됐다.이 사고로 B씨는 중상을 입어 119구급대에 의해 병원으로 이송돼 치료를 받고 있다.경찰은 A씨가 피해자를 미처 보지 못해 사고를 낸 것으로 보고, 자세한 사고 경위를 조사하고 있다.


"
"경인 건보공단·경기도치과의사회, 불법 개설기관 근절 업무협약


","[수원=뉴시스] 21일 오후 경기도치과의사회관에서 경기도치과의사회 최유성 회장과 국민건강보험공단 인천경기지역본부 서명철 본부장이업무협약을 체결하고 있다. 2022.02.21. (사진=경인 건보공단 제공) *재판매 및 DB 금지[수원=뉴시스] 박종대 기자 = 국민건강보험공단 인천경기지역본부(경인 건보공단)는 21일 오후 경기도치과의사회관에서 경기도치과의사회와 업무협약을 체결하고, 불법 개설로 인한 건강보험 재정 누수 방지 및 의료질서 확립에 협력하기로 했다.이번 업무협약은 양 기관이 공동 책임의식을 가지고 상호 협력체계 구축을 통해 지능화·다양화하고 있는 불법 개설 기관 근절과 건전한 의료질서를 확립하기 위해 마련했다.주요 협약 내용은 ▲각 기관은 불법 개설 기관 근절을 위해 인적 자원·정보 등 공유 ▲건강보험 재정 건전화와 의료 질서 확립에 상호 업무 협력 ▲효율적 업무 추진을 위해 실무자 중심의 실무 협의체 구성 ▲상호 협의해 반기 1회 이상 회의 개최 등이다.양 기관은 이번 업무 협약을 통해 불법 개설 기관 폐해로부터 국민을 보호하고 선량한 의료기관들이 진료에 전념할 수 있는 환경도 조성될 것으로 기대하고 있다. 경기도치과의사회 최유성 회장은 “불법 개설기관은 사회적 문제를 야기하는 중요한 문제인 만큼 공단과 실효성 있는 협업을 추진하여 국민에게 양질의 의료 서비스를 제공할 수 있도록 노력하겠다”고 말했다.경인 건보공단 서명철 본부장은 “경기도치과의사회와 긴밀한 협업으로 불법 개설 의심 기관에 대한 조사를 강화하고 국민의 생명과 안전, 건강권 보호 및 건전한 의료 공급자 보호를 위해 적극 협력해나갈 것”이라고 강조했다. 서 본부장은 이어 ""국민의 건강권을 보호하고 불법개설 의심기관에 대한 신속한 수사착수·종결로 건강보험 재정누수를 방지하고자 이를 위해 현재 진행 중인 공단 특별사법경찰권 도입을 통과시키기 위해 노력하고 있다""고 밝혔다.


"
"“불고기 피자 갖다주세요” 112 신고에 위급 상황 직감한 경찰


","경찰관, 수화기 너머로 남성 목소리 들리자'코드0' 발령 후 주소 확인···피의자 검거/이미지투데이[서울경제] “(신고자) 불고기피자 라지 사이즈 갖다주세요.”“(경찰관) 정확한 주소를 확인하겠습니다.”112에 걸려온 신고 전화를 받은 경찰관이 장난전화가 아님을 직감하고 신속하게 대응해 피해자를 구조한 사연이 알려져 화제다.21일 경기남부경찰청 112 치안종합상황실에 따르면 지난 18일 오후 9시 20분께 화성 동탄신도시에서 한 여성의 신고가 접수됐다. 신고자는 다급한 목소리로 자신의 주소를 빠르게 말한 뒤 불고기피자를 가져다달라고 요구했다.전화를 받은 김정의 경사는 처음엔 ‘전화를 잘못 걸었나’라고 생각했다가 잠시 뒤 수화기 너머로 남성의 목소리가 들리자 여성이 도움을 요청하는 상황임을 알아챘다. 김 경사는 즉시 ‘코드 0(강력범죄 현행범을 잡아야 할 때 발령하는 대응체계)’를 내하고는 피자 배달업체 직원인 것처럼 “정확한 주소를 확인하겠습니다”라며 침착하게 대답을 이어갔다.신고자 위치를 파악한 경찰은 신고 접수 7분 만에 현장에 도착했고 무사히 피해자를 구조할 수 있었다. 경찰은 가해자와 피해자를 분리해 조사한 결과 가정폭력이 있었던 사실을 확인하고 신고자의 남편을 검거했다.박기성 경기남부청 112 치안종합상황실장은 “과거 ‘짜장면이 먹고 싶다’며 112에 신고한 성범죄 피해자를 구조한 사례도 있었다”라며 “112 직원들은 신고자의 말을 조금도 흘려듣지 않고 세심하게 진술을 청취, 적극적으로 대응하고 있다”고 전했다.


"
"대구대, 반도체융합인재장학금 23명 선발


","수업 활동 참여도, 성취도 등 다각도 평가지난 17일 대구대 경산캠퍼스에서 열린 장학금 수여식.[이미지출처=대구대]대구대학교 차세대반도체 혁신공유대학 사업단이 ‘반도체융합인재장학금’ 수여식을 개최했다.지난 17일 열린 행사에서 지난해 2학기 차세대반도체 혁신공유대학 사업단에서 개설한 교육과정 이수자 중 수업 참여와 학업성취 등이 우수한 학생에게 장학금을 전달했으며, 심사평가를 통해 총 23명의 장학생을 선발했다.김경기 대구대 차세대반도체 혁신공유대학 사업단장은 “누구나 반도체 분야에 대한 진로를 탐색하고 반도체 분야 인재로 성장할 수 있도록 지원한다”며 “다양한 교과·비교과 프로그램을 지원할 예정”이라고 말했다.대구대는 지난해 교육부와 한국연구재단의 ‘디지털 신기술 인재양성 혁신공유대학’ 사업에 선정됐다.대구대를 포함한 7개 대학은 ‘차세대반도체’ 컨소시엄을 구성해 오는 2026년까지 800여억원의 사업비를 지원받아 반도체 분야 인재를 육성하기 위한 교과·비교과 교육과정을 운영한다.


"
