title,content
"日, 코로나 확진자수 5만명대…이달 어린이 대상 백신접종 시작


","신규 확진자 수 다소 줄어…사망자는 여전5~11세 어린이 대상 원하면 백신 접종 시행일본 도쿄. (사진=AFP)[이데일리 김소연 기자] 일본 코로나19 신규 확진자 수가 5만명대로 다소 줄어들었다. 다만 사망자 수는 여전히 높은 수준을 유지하고 있다. 일본은 이달부터 5~11세 어린이를 대상으로 코로나19 백신 접종을 시작한다. 21일 NHK에 따르면 일본 코로나19 확진자 수는 이날 오후 6시 현재 5만1987명으로 집계됐다.전날(7만1488명)보다 2만여명 가까이 감소했다. 일주일전인 지난 14일(6만142명) 대비 8000여명 줄었다. 다만 사망자는 173명으로, 전날(158명)보다 15명 늘었다. 지역별로 보면 도쿄도의 신규 확진자는 8805명으로 1만명을 밑돌았다. 이는 지난 1월24일 이후 약 한 달 만이다. 다만 사망자 수는 30명으로 올해 들어 가장 많은 수준을 기록했다. 한편 일본 정부는 이번 달부터 5~11세 어린이를 대상으로 코로나19 백신 접종을 시작하기로 했다. 이번주부터 의료기관에 백신을 보내 접종을 시행할 예정이다. 이에 따라 어린이들은 백신 접종을 희망하면 접종할 수 있으며, 의무는 없다.


"
"대한민국 컬링 대표팀 '잘 싸웠다, 덕분에 즐거웠습니다'


","[인천공항=뉴시스] 조수정 기자 = 2022 베이징 동계올림픽에 출전했던 대한민국 선수단 여자 컬링 대표팀이 21일 오후 인천국제공항 제2터미널을 통해 귀국, 입국장에서 열린 환영행사에서 기념촬영 하고 있다. 왼쪽 세번째부터 김영미, 김경애, 김선영, 김은정, 김초희. 2022.02.21. chocrystal@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.


"
"'고생하셨습니다' 인사 나누는 선수단 '이제 격리시설로'


","[인천공항=뉴시스] 조수정 기자 = 2022 베이징 동계올림픽에 출전했던 대한민국 선수단 윤홍근 단장과 컬링 김은정, 스피드스케이팅 은메달 정재원, 동메달 김민석, 여자 스피드 김보름 등이 21일 오후 인천국제공항 제2터미널을 통해 귀국, 입국장에서 열린 환영행사에서 기념촬영을 마친 뒤 서로 인사 나누고 있다. 2022.02.21. chocrystal@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.


"
"Greece Ferry Fire


","f48b7dda399a4984824e01340aa88a70Seagulls fly as smoke rises from the Italian-flagged Euroferry Olympia, which is on fire for the fourth day in a row, in the Ionian sea near the Greek island of Corfu, on Monday, Feb. 21, 2022. Fire service rescuers expanded a search Monday inside a burning ferry anchored off the Greek island of Corfu where 10 people remain missing. The body of a Greek man was discovered inside the ship Sunday as a total of 281 people were rescued. (AP Photo/Petros Giannakouris)


"
"SPAIN CINEMA


","Photocall of the film 'Official Competition'Spanish actors and cast members Antonio Banderas (L) and Penelope Cruz pose during the photocall of the movie 'Official Competition', in Madrid, Spain, 21 February 2021.  EPA/Mariscal


"
"Greece Ferry Fire


","d35162b53fa542acb15fb7e2123efc69Smoke rises from the Italian-flagged Euroferry Olympia, which is on fire for the fourth day in a row, in the Ionian sea near the Greek island of Corfu, on Monday, Feb. 21, 2022. Fire service rescuers expanded a search Monday inside a burning ferry anchored off the Greek island of Corfu where 10 people remain missing. The body of a Greek man was discovered inside the ship Sunday as a total of 281 people were rescued. (AP Photo/Petros Giannakouris)


"
"Greece Ferry Fire


","fd5e79e222de4dd4bec7f739f93173bdSmoke rises from the Italian-flagged Euroferry Olympia, which is on fire for the fourth day in a row, in the Ionian sea near the Greek island of Corfu, on Monday, Feb. 21, 2022. Fire service rescuers expanded a search Monday inside a burning ferry anchored off the Greek island of Corfu where 10 people remain missing. The body of a Greek man was discovered inside the ship Sunday as a total of 281 people were rescued. (AP Photo/Petros Giannakouris)


"
"Greece Ferry Fire


","b320e563aa3645eea1ed49a4391b7cb7Seagulls fly as smoke rises from the Italian-flagged Euroferry Olympia, which is on fire for the fourth day in a row, in the Ionian sea near the Greek island of Corfu, on Monday, Feb. 21, 2022. Fire service rescuers expanded a search Monday inside a burning ferry anchored off the Greek island of Corfu where 10 people remain missing. The body of a Greek man was discovered inside the ship Sunday as a total of 281 people were rescued. (AP Photo/Petros Giannakouris)


"
"Virus Outbreak Britain


","f48600939eb4455da4a553765c0cd47cFILE - A man wearing a face mask to curb the spread of coronavirus walks past a health campaign poster from the One NGO, in an underpass leading to Westminster underground train station, in London, Thursday, Jan. 27, 2022. Scientists are warning the British government not to weaken the country’s ability to monitor and track the coronavirus when Prime Minister Boris Johnson ends the requirement for people in England to self-isolate if they contract COVID-19. Johnson will announce details in Parliament on Monday, Feb. 21, 2022 of the government’s plan for “living with COVID.” (AP Photo/Matt Dunham, File) FILE PHOTO


"
"우크라 대상 살생부 작성했다?…러시아 ""그런 거 없다""


","WP ""시위 해산 위해 치명적 수단 사용 계획""EPA연합뉴스[서울경제] 러시아가 우크라이나를 침공한 뒤 제거하거나 수용소로 보낼 인사들의 명단을 작성하고 있다는 의혹이 나왔다. 다만 러시아 측은 이 같은 명단이 존재하지 않는다며, 이 같은 주장이 거짓이라고 반박했다.20일(현지시간) 워싱턴포스트(WP)에 따르면 미국 정부는 이날 미첼 바첼레트 유엔 인권 최고대표에게 보낸 서신을 통해 ""러시아가 우크라이나 침공 이후 살해하거나 수용소로 보낼 우크라이나인의 명단을 만들고 있다는 믿을 만한 정보가 있다""고 주장했다. 이어 ""러시아는 러시아의 행동에 반대하는 사람들을 대상으로 이전에 했던 것처럼 표적 살해, 납치, 불법 구금, 고문 등을 할 것""이라고 우려했다. 또 ""러시아군이 평화 시위를 해산시키기 위해 '치명적인 수단'을 사용해 이를 진압할 계획이라는 정보도 갖고 있다""고 덧붙였다. WP는 이 서신이 이날 늦게 인권최고대표사무소(OHCHR)에 전달됐다고 전했다.이같은 의혹에 대해 21일 드미트리 페스코프 크렘린궁 대변인은 허구이고 픽션에 불과하다고 반박했다. 그는 ""완전한 픽션으로 그런 명단은 존재하지 않고 그것은 허구""라고 말했다. 


"
