title,content
"軍 코로나19 신규 추가 확진 477명 발생...누적 완치 9344명, 치료 중 3330명


","군 장병.[파이낸셜뉴스] 국방부는 22일 군 내 코로나19 확진자 477명이 신규 발생했다고 밝혔다.   이로써 이날 오후 2시 기준 군 내 코로나19 누적 확진자는 1만2674명으로 집계됐다. 치료·관리 중인 사례는 3330명이다.   전국 각지 육군에선 344명, 공군 41명, 해군 20명, 해병대에서 34명이 양성 판정을 받았다.   또 국방부 직할부대에서 28명, 국방부 9명, 합동참모본부에서 1명의 코로나19 확진자가 보고됐다.   국방부 관계자는 ""10명 이상 확진자가 발생한 부대는 육군 2개 부대""라고 설명했다.


"
"이재명 또 현금공약 ""재택치료자 10만원 더 지급""


","당선 1호 지시는 '코로나 피해 구제'인수위가 '코로나 구제 특위' 될 것3월10일부터 거리두기 완화청소년 방역패스 폐지도 검토개미투자자 위해 증권거래세 폐지尹 '주식양도세 폐지' 공약에 맞불이재명 더불어민주당 대선 후보가 21일 서울 여의도 당사에서 코로나19 대응 방안 관련 기자회견을 하던 중 잠시 물을 마시고 있다.  김범준 기자이재명 더불어민주당 대선 후보가 당선 시 ‘1호 지시사항’으로 코로나19 피해구제 기구를 설치하겠다는 계획을 밝혔다. 코로나19 재택치료자에겐 1인당 10만원의 지원금을 추가로 지급하겠다고 약속했다. “1000만 개미 투자자들의 대통령이 되겠다”며 증권거래세 폐지도 공약했다. 지원책을 쏟아내며 표심 공략에 총력을 기울이는 모습이다. ○李 “재택치료자 10만원 추가지급”이 후보는 21일 코로나19 대응 기자회견을 열고 “당선 직후 1호 지시사항으로 루스벨트식 신속대응 기구인 ‘코로나 피해 긴급구제 특별위원회’를 설치해 속도감 있게 대응하겠다”며 “대통령 인수위원회가 곧 코로나 구제 특위가 될 것”이라고 밝혔다. 현 정부와 차별화를 시도하면서 당선 시 바로 코로나19 대응 업무에 나설 역량과 의지를 갖췄다는 점을 강조한 것이다.그는 “3월 10일 이후 코로나 대응은 확실하게 바뀔 것”이라며 “당선되면 바로 다음날부터 거리두기를 완화하겠다”고 약속했다. 그러면서 “이론적으론 취임 전 공식 권한이 없지만, 실질적인 권한이 생겨나기 때문에 현직 대통령과 협의해 당선자 책임으로 차기 정부에서 얼마든지 시행할 수 있다”고 주장했다. 이 후보는 3차 접종자에 한해 영업시간 제한을 밤 12시까지로 완화하고, 청소년 방역패스 폐지를 검토하겠다고 했다.의약품 구입비용 등을 지원하기 위해 재택치료 시 추가 지원금 10만원을 지급하겠다고도 밝혔다. 재택치료 지원 인력도 대폭 늘리겠다고 약속했다. 그는 “민주당 단체장의 관할 지역부터 즉각 실행하겠다”고 했다. 코로나19로 인한 경제난으로 신용불량자가 된 경우 ‘신용대사면’에 나서겠다고도 했다.이날 페이스북을 통해서는 증권거래세를 폐지하겠다는 공약을 내놨다. 경쟁자인 윤석열 국민의힘 후보가 증권거래세 폐지를 공약했다가 주식 양도차익에 대한 소득세 폐지로 선회한 것을 꼬집으며 “부자 감세를 위한 주식양도세 폐지가 아니라 개미와 부자에게 똑같이 부과되는 증권거래세를 없애겠다”고 맞불을 놨다. ○‘다자 구도’ 효과 기대하나당초 이 후보는 이날 다른 일정을 잡지 않고 TV토론 준비에 매진할 예정이었지만, 국회 추가경정예산안 처리 일정 등을 고려해 코로나19 관련 회견을 자청했다. 이슈에 기민하게 대응하고 적극적인 태도로 지지층을 결집시켜 ‘박빙 열세’로 분석되는 전황을 뒤집기 위해 총력을 다하는 모습이다.이 후보는 전날 유세 때 ‘코로나 위기’라고 적힌 송판을 격파하는 퍼포먼스를 하는 등 메시지가 보다 짧고 강렬해졌다. 양복 차림으로 무대에 가만히 서 50분 가까이 강연하듯 연설했던 선거운동 초반과는 차이가 크다. 민주당 의원들은 각 지역구에서 ‘뒷골목 선거운동’을 벌이며 최대한 주민들과의 접촉면을 넓히는 ‘보병전’에 나섰다. 이 후보는 이날 기자들과 만나 전략상 수정사항이 있냐는 질문에 “저는 우리 국민들의 집단지성을 믿는다”며 “국민들께서 유능한, 실적이 증명된 경제 대통령, 민생 대통령, 또 통합대통령을 반드시 뽑아줄 것이라 믿는다”고 말했다.민주당은 전날 안철수 국민의당 후보가 윤 후보와의 단일화 결렬을 선언하면서 선거가 ‘다자 구도’로 치러질 가능성이 높아진 만큼 지지층을 결집하는 데 성공한다면 현재 열세 상황을 뒤집을 수 있다고 보고 있다. 우상호 민주당 선거대책위원회 총괄선대본부장은 이날 “저희는 4자 구도로 가는 것만으로도 불리하지 않다고 본다”며 “만약 안 후보 쪽과 우리가 뭘 같이 해볼 수 있다면 국면 자체가 (민주당에) 유리해질 수 있다”고 말했다.민주당 일부 인사는 ‘통합 정부’ 구상을 매개로 안 후보 측에 물밑 접촉을 시도하고 있는 것으로 전해졌다.


"
"민주당 부산선대위 ""신천지 비호 세력에게 나라 맡길 수 없어""


","민주당 당원과 시민들이 자발적으로 참여하는 캠페인 전개민주당 선대위 ""종교를 이용한 불법 선개해우이 차단 위해 캠페인 적극 동참""더불어민주당 당원들이 신천지 정치세력화 규탄 캠페인을 벌이고 있다. 민주당 부산선대위 제공더불어민주당 부산선대위가 윤석열 국민의힘 후보 캠프의 신천지 연루 의혹을 정면으로 규탄하고 나섰다.민주당 부산선대위는 '신천지 비호 세력에게 나라를 맡길 수 없습니다'라는 제목의 캠페인이 전개되고 있다고 21일 밝혔다.민주당 당원과 시민들이 자발적으로 참여하는 이번 캠페인은 신천지의 정치 세력화 규탄을 목적으로 '피켓 들기', 현수막 게첩' 등의 방식으로 진행한다.민주당 선대위는 ""선거 정의를 실현하고 국민의 올바른 선택을 보장하기 위한 이번 캠페인을 지지한다""며 ""종교를 이용한 불법 선거행위를 사전에 차단하기 위해 캠페인에 적극 동참하기로 했다""고 밝혔다.한편, 최근 신천지 간부 출신 한 탈퇴자는 CBS와의 인터뷰에서 신천지가 윤 후보를 돕기 위해 당원 가입을 조직적으로 지시했다고 폭로한 바 있다.민주당 부산선대위는 이와 함께 과거 신천지 연루 의혹이 불거졌던 지역의 한 정치인이 국민의힘 부산선대위 공동선대위원장에 영입됐다고 지적했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : nocutnews@cbs.co.kr카카오톡 : @노컷뉴스


"
"'일제 강제동원' 안희수 할머니 별세…여야 ""日정부·기업 사과 받아야""


","與 ""이재명 후보, 일본 강력 규탄…법적·역사적 책임 강력 요구""野 ""윤석열 후보, 아픈 역사 똑똑히 기억…반성·사죄 받아내야""강제동원 공동행동 회원들이 14일 오전 서울 종로구 일본대사관(트윈트리 타워) 앞에서 일본정부와 기업에 대법원 판결 이행 촉구 기자회견을 갖고 있다.. 2019.2.14/뉴스1 © News1 이승배 기자(서울=뉴스1) 최동현 기자 = 여야는 21일 일제강점기 근로정신대 피해자 안희수 할머니의 별세 소식에 ""일본 정부와 강제징용 기업들의 역사적 잘못에 대한 냉철한 반성과 사과를 받아야 한다""고 한목소리를 냈다.백혜련 더불어민주당 선대위 수석대변인은 이날 서면 브리핑을 통해 ""오늘 새벽 일제강점기 근로정신대 피해자 안희수 할머니께서 향년 93세로 별세하셨다""며 ""또 다른 피해자 박해옥 할머니께서 별세하신 지 5일만""이라고 애도했다.백 수석대변인은 두 할머니가 강제 동원에 대한 사과와 보상을 끝내 받지 못하고 생을 마감한 것에 대해 ""일본 정부와 강제징용 기업들은 마땅히 잘못을 인정하고 사과해야 한다""고 강조했다.이어 ""그럼에도 이들은 도리어 강제 동원의 역사적 현장인 사도 광산을 세계문화유산으로 등재하려고 시도하는 등 반역사적이고 후안무치한 행태를 반복하고 있다""고 비판했다.백 수석대변인은 ""민주당과 이재명 후보는 이러한 일본 정부의 시도에 대해 강력히 규탄해왔다""며 ""앞으로도 일본 정부와 가해자인 일본 기업들의 법적 역사적 책임을 강력히 요구할 것""이라고 했다.황규환 국민의힘 선대본부 대변인도 이날 논평을 통해 고 박해옥 할머니와 안희수 할머니의 사망 소식을 전하며 ""역사의 아픔과 고통을 온몸으로 견뎌내고도, 아픈 역사가 되풀이되는 것을 막기 위해 용기를 보여주셨던 두 분 할머니의 영면을 기원한다""고 했다.황 대변인은 '치욕스러운 역사가 잊히지 않도록 학생들에게 교육해야 한다'고 말했던 박 할머니의 생전 발언을 언급하며 ""국민의힘과 윤석열 후보는 아픈 역사와 함께 두 할머니가 보여주신 용기도 똑똑히 기억할 것""이라고 했다.이어 ""일본 정부의 역사적 잘못에 대한 냉철한 반성과 사죄를 받아내어야 함은 물론, 역사적 아픔을 이용해 사리사욕을 채우거나 정치적 목적을 위해 악용하는 일도 단호히 배척해야 할 것""이라고 강조했다.한편 안희수 할머니는 이날 새벽 창원의 한 요양병원에서 93세 일기로 별세했다. 안 할머니는 마산 성호초등학교 6학년 때인 1944년 봄 일본 도야마 군수공장 후지코시 회사로 동원돼 강제노역 피해를 봤다.후지코시는 조선에서 근로정신대로 가장 많이 동원한 기업이다. 자료에 따르면 1945년 당시 조선 전국에서 동원된 우리 국민 중 1089명이 후지코시에서 근무했다.안 할머니는 2003년 후지코시를 상대로 동료 피해자들과 소송을 진행했지만 일본 법원은 2011년 최종 패소 판결했다. 안 할머니는 2013년 서울중앙지법에 후지코시를 상대로 다시 소송을 제기했고, 1·2심에서 승소했다. 하지만 대법원 판단이 내려지기 전 끝내 숨을 거뒀다.


"
"노바백스 도입 이후 1차 접종 증가…전주보다 2만건 늘어


","2월 2주차 2.4만명→2월 3주차 4.3만명노바백스 백신 접종 준비(광주=연합뉴스) 18세 이상 미접종자나 고위험군을 대상으로 한 노바백스 백신 접종 첫날인 14일 광주 북구 보건소 접종실에서 보건소 의료진들이 의료기관 백신 수급 불안 시 지원할 노바백스 백신 수량을 확인하고 있다. 2022.2.14 [광주 북구청 제공. 재판매 및 DB 금지] pch80@yna.co.kr    (서울=연합뉴스) 박규리 기자 = 지난 14일 노바백스 백신 당일 접종이 시작된 이후 지난주 1차 접종 건수가 직전 주에 비해 2만건 가까이 증가한 것으로 나타났다.    코로나19 예방접종대응추진단(추진단)은 21일 정례 브리핑에서 ""2월 14일부터 노바백스 백신 접종이 가능해짐에 따라 전주 대비 1차 접종 건수가 약 1만9천건 증가했다""고 밝혔다.    2월 3주차(2.13∼19)에 1차 접종을 받은 18세 이상 성인은 총 4만3천명이다.    이는 직전 주인 2월 2주차(2.6∼12) 2만4천명에 비해 약 2만명 가까이 늘어난 수치다.    지난주에 1차 접종을 받은 4만3천명 가운데 노바백스 백신 접종자는 2만7천명으로, 1차 접종자의 약 63%가 노바백스 백신 접종자였다.    노바백스 백신은 지난 14일부터 도입됐으며, 카카오톡·네이버 앱이나 의료기관 예비명단을 활용해 지정 위탁기관에서 당일 접종 받을 수 있다.    이날부터는 사전예약도 시작돼, 노바백스 백신 접종을 원하는 18세 이상 미접종자는 사전예약 누리집(http://ncvr.kdca.go.kr)에서 예약할 수 있다.    정부는 노바백스 백신이 도입된 이후 미접종자들의 접종 참여가 증가했다고 보고 있다. 노바백스 백신은 기존 백신에 자주 활용되던 유전자 재조합 방식으로 제조돼 거부감이 덜한 것으로 알려져 있다.    추진단은 ""예방접종을 통해 코로나19 감염위험을 낮추고 중증 진행을 효과적으로 예방할 수 있는 만큼, 미접종자들께서는 오늘부터 시작된 노바백스 접종 사전예약에 적극 동참해달라""고 당부했다.    curious@yna.co.kr


"
"문 대통령 “복지·노동·민주주의 가치, 대선 국면서 활발 논의돼야”


","21일 수석보좌관회의 마무리 발언“복지·경제·고용 선순환, 패러다임으로 받아들여야”“코로나가 복지 미친 영향 면밀 검토하라”[이데일리 이정현 기자] 문재인 대통령은 21일 “복지, 노동, 민주주의 등 가치를 더욱 증진하는 정책과 논쟁이 대선 국면에서 활발하게 논의되고 다음 정부의 기조로 이어져 더욱 발전시켜 나갈 필요가 있다”고 말했다.문재인 대통령이 21일 오후 청와대 여민관에서 열린 수석보좌관회의에서 발언하고 있다.(사진=연합뉴스)문 대통령은 이날 청와대에서 주재한 수석보좌관회의에서 “복지·경제·고용의 선순환이 하나의 패러다임으로 국민들에게 받아들여지기 바란다”며 이같이 말했다고 박경미 청와대 대변인이 서면브리핑을 통해 밝혔다.이어 “코로나 상황이 복지 정책의 실현을 지연시키기도 했고 촉진시킨 면도 있는데 코로나가 우리 정부의 복지에 미친 영향을 면밀하게 검토하라”고 지시하며 “우리 사회가 국민적 공감대 속에 복지국가로 나아가기 위한 현실적 목표와 실행방안을 지속적으로 강구해 나가야 한다”고 강조했다.이날 수석보좌관회의는 ‘문재인 정부와 복지국가’를 주제로 지난 5년간 정부가 추진해 온 포용적 복지국가의 성과를 평가하고 남겨진 과제들을 점검하는 이태수 한국보건사회연구원장의 발표와 외부 전문가 및 참모진들의 토론으로 진행됐다.발제와 토론에서 문재인 정부가 역대 정부 중 가장 높은 공공사회지출 증가와 기초생활 부양의무자 기준 폐지, 기초연금 및 장애인연금 인상, 근로장려금 및 자녀장려금 확대, 건강보험 보장성 강화, 치매국가책임제 시행 등 제도 개선, 아동수당과 상병수당 도입 추진 등을 통해 복지국가의 골격을 마련했음을 평가했다. 아울러 저출산과 고령화 심화 대응, 사회보험 개혁 등이 앞으로 남겨진 과제라는 점을 확인했다.


"
"GH 찾아간 국민의힘 의원들 “이재명 옆집 의혹 해명하라”


","국힘 “이 후보 위해 ‘비선캠프’로 사용됐다는 의혹”송석준 “공식적으로 자료 받아본 뒤 대응할 예정”    송석준 국민의힘 의원과 국민의힘 원내부대표단 국토위 산자위 소속 의원들이 21일 경기도 수원시 권선구 경기주택도시공사에 항의 방문하고 있다. 수원=뉴시스     국민의힘 의원들이 경기주택도시공사(GH)를 찾아가 이재명 더불어민주당 대선후보 ‘옆집 의혹’에 대해 해명을 요구했다.   21일 국민의힘 송석준, 김상훈, 한무경, 전주혜 등 의원들은 경기도 수원시 권선구 경기주택도시공사를 찾아 경기도 산하 공기업인 GH가 이 후보의 분당 아파트 옆집을 임대해 사용한 것을 두고 각종 의혹을 제기했다.   이들은 “이재명 후보 자택 바로 옆집에 경기주택도시공사 합숙소가 들어온 사실이 언론 보도를 통해 밝혀졌다. 이 후보와 GH는 이 후보를 위해 직원합숙소가 ‘비선캠프’로 사용됐다는 의혹에 대해 소상히 해명해야 한다”라고 주장했다.   이어 “GH 직원 4명 합숙을 위해 무려 9억5000만원 전세가를 부담하며 60평대 아파트를 임차했다는 얼토당토않은 해명으로 국민을 이해시킬 수 있다고 생각하는가”라고 덧붙였다.   그러면서 “심지어 성남시 이 후보의 집은 수원시 GH본사와 20㎞나 떨어져 있어 GH본사까지 편도 1시간은 족히 걸리는 거리”라며 “더 황당한 것은 이 후보의 측근인 이헌욱 전 GH사장이 취임 뒤 임대한 것인데도 이 전 사장, 이 후보, 부인 김혜경씨는 몰랐다며 부인하고 있다”고 비판했다.   아울러 “김혜경씨의 공무원 심부름 갑질과 법인카드 사적 유용에 대해서도 끝까지 책임을 물을 것이며, 이 후보의 책임 있고 진실한 해명을 촉구한다”고 목소리 높였다.   이들은 전형수 사장 직무대행(경영기획본부장)을 만나 ▲숙소 전세계약 자금 출처 ▲숙소 배치 규정 및 임원 합숙 규정 ▲합숙소 운용 현황 ▲관리비내역서 및 지출내역 등 자료를 제출하라고 요구했다.   한무경 의원은 “GH 내부 지침에 ‘합숙소 면적은 3인 기준 국민주택규모(전용면적 85㎡ 미만)를 초과할 수 없으며, 1인당 전용면적은 28㎡ 이하여야 한다’고 돼 있다. 지침을 위반해 평수를 초과한 주택을 얻은 것인데 ‘간혹 그런 경우가 있다’고 해명하더라. 이에 대해 구체적 자료를 요청한 상태”라고 설명했다.   송석준 의원은 “GH가 왜 하필, 무슨 목적으로 도지사 옆집에 합숙소를 얻었는지 캐물었는데 직원들 숙소로 ‘우연히 얻은 것’이라고 몰랐다는 답변만 하더라. 잘못된 것이 없다는 입장인데 상식적으로 납득이 어려운 설명이다. 공식적으로 요청한 자료를 받아본 뒤 추후 대응할 예정”이라고 말했다.   앞서 최근 TV조선은 지난 2020년 8월 GH가 직원 합숙소용으로 분당구 수내동 아파트를 2년간 9억 5000만원에 전세 계약했는데 이곳은 이 후보의 자택 옆집이라고 보도했다.


"
"경북문화관광공사 김성조 현 사장 연임


","연임 기간은 2023년 2월 21일까지 1년경상북도가 산하 공기업인 경북문화관광공사 사장에 현 김성조 사장의 연임을 결정했습니다.연임 기간은 2023년 2월 21일까지 1년입니다. 사장 임원추천 위원회의 추천과 경북도의회 인사검증위원회를 거쳐 도의회 본회의에서 통과돼 확정됐습니다.경북 구미 출신인 김 사장은 경북도의원과 16, 17, 18대 구미갑 지역구 국회의원, 대한체육회 부회장과 한국체대 총장을 지냈고 2019년 3대 경북문화관광공사 사장으로 취임했습니다. 


"
"민주당 ""단일화 결렬, 윤석열의 속 좁은 정치 드러나""


","안철수 결렬 선언에 반색하며 '인물구도 복원' 기대... ""2번의 TV토론이 변곡점""        ▲  강훈식 더불어민주당 선거대책위원회 전략기획본부장. 사진은 2021년 6월 28일 국회에서 열린 제1차 대선경선기획단 회의 때 모습.            ⓒ 공동취재사진   '윤석열-안철수 단일화 결렬 선언, 두 차례의 대선후보 TV토론'. 더불어민주당이 막판 판세 변동을 예상하는 두 가지 이슈다. 강훈식 더불어민주당 선거대책위원회 전략기획본부장은 21일 오후 여의도 당사에 연 기자간담회에서 ""(경합 열세였던 지난주 상황과 달리) 어제 국민의당 안철수 후보의 단일화 결렬 선언이 있었고 오늘 추가경정예산안이 확정되면 또 다른 추격세와 반등 구도 판세가 만들어질 것이라 기대한다""며 이같은 전망을 내놨다. 강 본부장은 구체적으로 ""(단일화 이슈 때 발생한) 안철수 후보의 이탈(지지)층 향배에 따라 여론 지형이 좀 변할 것이고 그 변화가 생각보다 좀 클 수 있다고 예측한다""며 ""단일화 결렬 선언 이후 '정권재창출이냐, 정권교체냐'란 양비론적 시각은 힘을 잃고 사실상 인물구도로 복원되는 시간일 것""이라고 말했다. 이어 ""인물구도는 결국 '누가 국정운영을 잘할 것'이란 능력평가로 귀결될 수밖에 없고 미래에 대한 비전 없이 '묻지마 바꿔'식 정권교체는 약화될 수밖에 없다""면서 ""앞으로 있을 두 차례 TV토론은 이러한 인물구도가 극대화 되는 변곡점이 될 것""이라고 주장했다. 윤석열-안철수 단일화 결렬 과정에서 드러났던 윤 후보 측의 대응이 안 후보 지지층을 자극했다고도 판단했다. 이에 대해 그는 ""(양당 사이) 단일화 관련 여러 구체적 논의가 있었을 것으로 추측되고 내부적 검토도 했을 텐데, (유세차량 사고로 숨진 고인에 대한) 이준석 국민의힘 대표의 망언이 국민의당 내부 반발을 심각하게 샀다""며 ""(안 후보의) 지지층도 격앙돼서 사실상 단일화가 불가능한 상황으로 진단된다""고 설명했다(관련 기사: ""경악"" ""고인모독"" ""패륜""... 이준석에게 쏟아지는 비난). 특히 ""(단일화 결렬 과정에서) 윤석열 후보 측의 속 좁은 정치가 드러났다""며 ""(윤석열-안철수) 후보 간의 전격적인 단일화 제안에 당혹했던 지점도 있었는데 그렇게 결렬되는 상황을 보면서 과연 윤 후보가 어떻게 국민통합을 이뤄낼 수 있을까, 회의적인 시각을 가진다""고 강조했다. 반면, 안 후보를 향해선 ""이재명 후보는 제3의 선택이 가능한 다당제와 표의 등가성이 보장되는 비례대표제, 위성정당 금지에 대한 선거제도 개혁을 말했고 진영과 무관하게 유능한 인재를 쓰는 국민통합정부를 제안한 바 있다""며 열린 자세를 취했다. ""24시간 비상체제 돌입, 여론조사 공표금지 전까지 '골든크로스' 가능 판단""              ▲  더불어민주당 이재명 대선 후보가 21일 오전 서울 여의도 중앙당사에서 코로나 피해 극복과 대응 방안 관련 기자회견을 하고 있다.             ⓒ 공동취재사진   한편, 강 본부장은 ""오늘부로 선대위 체제는 24시간 비상체제로 돌입한다""고 알렸다. 그는 ""기초·광역의원 2500명과 전 당원들이 절박하고 낮은 자세로 국민 한명 한명과 소통하면서 국민 요구에 신속하게 대응할 것""이라며 ""절실함과 자신감으로 동네 곳곳 누벼서 총력전을 전개한다면 여론조사 공표금지 전까지 '골든크로스' 상황이 충분히 올 수 있고 가능하다고 판단한다""고 밝혔다. 특히 ""투표 독려에 전면적으로 집중할 계획이다. 역대 선거와 비교할 때 유례 없이 마음을 못 정한 부동표가 크다""며 ""이분들의 경계를 허물고 누가 위기에 적합한 인물인지 판단이 정해진다면 더 큰 결과를 얻어올 수 있으리라 생각한다""고 밝혔다. 또 ""내부적으론 실수 않는 것도 중요하다고 생각한다. 그에 대한 경계령도 내렸다""며 ""(국민의힘) 권성동 의원 보좌진 불법촬영 사건으로 여성 유권자들의 윤석열 이탈이 확인된 바, 저희 또한 경계하고 주의할 예정""이라고 덧붙였다.


"
"‘대선완주’ 선언한 安 측에 이준석 “장사 그만하라, 안중근 의사까지 언급 민망”


","“조롱은 제가 하지만 협박은 님들이 해”“이준석 제거해야 한자리 얻고 그런 것”    이준석 국민의힘 대표가 지난 18일 오후 대구 달서구 호산동의 한국노총 대구본부를 방문해 노동계 현안을 경청하고 있다. 대구=뉴시스     이준석 국민의힘 대표는 21일 단일화 제의를 철회하고 대선 완주를 선언한 안철수 국민의당 대통령 후보 측을 향해 “정권교체를 바라는 국민들의 마음을 놓고 장사 그만하라. 오늘은 안중근 의사까지 언급하셨던데 민망하다”고 다시 날을 세웠다.   이 대표는 이날 페이스북에 최진석 국민의당 상임선대위원장의 발언 기사를 공유하고 “이제 국민의당이 마음의 소리를 하기 시작한다. 애초에 이준석을 제거해야 거간도 하고 정계개편이나 지방선거 때도 한 자리 얻고 그런 건데 말이다”라며 이같이 적었다.   최 위원장은 이날 KBS 라디오 ‘최영일의 시사본부’에서 “안철수 후보는 단일화 이후를 단일화 자체보다 중요하게 생각하는데, 협상 과정에서 조롱을 하거나 협박을 하거나 상중에 이상한 말들이 나오는 것을 보고 ‘이 분들은 단일화의 의사가 없구나’라고 판단한 것 같다”고 밝혔다.   최 위원장은 그러면서 이 대표의 전날 ‘고인 유지’ 관련 발언에 대한 공개 사과나 사퇴도 필요하다고 보냐는 질문에 “예단하기는 어렵지만, 앞에 있는 문제들을 제거하고 그 다음에 진정성을 표현하는 것은 필요하지 않겠나”라고 답했다. 최 위원장의 ‘문제 제거’ 표현이 이 대표의 사퇴를 지칭하는 것인지는 명확치 않다.   이 대표는 이에 대해 “조롱은 제가 하지만 협박은 님들이 하고 있다”고 반박하며 “우리 후보가 전화까지 했음에도 연락 없었다고 태연히 말하면서 정치적 이득을 취하려는 행태는 지난 서울시장 경선 때 막판까지 오세훈 시장을 이겨보겠다고 생태탕 의혹을 꺼내들던 모습의 데자뷰”라고 덧붙였다.


"
